               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10665,            0.022122,            0.021169,             0.50663,             0.20909,            0.019118,            0.004776,            0.089665,            0.017235,            0.016077,            0.078537,            0.011076,            0.011076
                   1,             0.07482,            0.020266,           0.0083408,             0.16235,             0.23593,            0.092166,            0.027842,            0.086629,            0.015121,            0.012979,            0.056505,            0.022378,            0.022378
                   2,            0.070605,            0.016242,           0.0049559,             0.20021,             0.25325,            0.091787,            0.021393,            0.092034,            0.012114,            0.030267,            0.034429,            0.033635,            0.033635
                   3,            0.064553,            0.014304,           0.0036946,             0.37959,             0.65584,             0.41372,             0.13712,            0.063986,            0.013985,            0.004422,            0.033837,            0.033837,            0.033837
                   4,            0.057146,            0.012583,           0.0031092,             0.48789,             0.65714,             0.59601,             0.19225,            0.057186,            0.016293,           0.0040169,            0.033837,            0.033837,            0.033837
                   5,            0.052702,             0.01198,           0.0026722,             0.54287,             0.54765,              0.5083,             0.15793,            0.059185,            0.010265,           0.0055328,             0.03377,             0.03377,             0.03377
                   6,            0.051512,            0.011255,           0.0024665,             0.62089,              0.5697,             0.51678,              0.1493,            0.063202,            0.011555,           0.0017838,            0.033702,            0.033702,            0.033702
                   7,            0.049672,             0.01048,           0.0020578,             0.70757,             0.59004,              0.6819,             0.31631,            0.060604,            0.011406,           0.0037735,            0.033635,            0.033635,            0.033635
                   8,            0.047531,            0.010078,           0.0017914,             0.63548,             0.53107,             0.58581,             0.23849,            0.058058,            0.015236,            0.011699,            0.033568,            0.033568,            0.033568
                   9,            0.046838,            0.010118,           0.0021337,             0.66816,             0.55498,             0.53369,             0.16304,            0.063541,            0.010645,           0.0077194,              0.0335,              0.0335,              0.0335
                  10,            0.046536,            0.010157,           0.0020879,             0.90744,             0.88144,             0.87761,             0.35606,            0.046934,            0.010265,            0.003447,            0.033433,            0.033433,            0.033433
                  11,            0.045109,           0.0096431,           0.0018757,             0.92956,             0.85455,             0.90701,             0.43509,            0.043241,            0.010387,          0.00094662,            0.033366,            0.033366,            0.033366
                  12,            0.043018,           0.0093789,           0.0014878,             0.93882,             0.89432,             0.96058,             0.45381,            0.040474,           0.0090466,           0.0013361,            0.033298,            0.033298,            0.033298
                  13,            0.042424,           0.0088105,           0.0012854,             0.95229,             0.87286,             0.95397,             0.50592,            0.037396,           0.0092754,          0.00085144,            0.033231,            0.033231,            0.033231
                  14,            0.041636,           0.0089615,           0.0012472,              0.8946,             0.89437,              0.9059,             0.38016,            0.042936,            0.011518,          0.00054331,            0.033164,            0.033164,            0.033164
                  15,            0.041044,           0.0088398,           0.0010644,             0.95273,             0.95109,              0.9622,             0.42358,            0.040584,           0.0081635,          0.00051317,            0.033097,            0.033097,            0.033097
                  16,            0.040278,           0.0088907,           0.0014747,             0.84607,             0.84494,             0.83007,             0.27772,            0.054179,           0.0083752,          0.00054255,            0.033029,            0.033029,            0.033029
                  17,            0.039557,           0.0087884,           0.0011989,             0.90501,             0.78874,             0.85668,             0.34501,             0.04529,            0.012285,           0.0015249,            0.032962,            0.032962,            0.032962
                  18,            0.039239,           0.0085537,           0.0014298,             0.91631,             0.88963,             0.87801,             0.35474,            0.044606,           0.0078335,          0.00070982,            0.032895,            0.032895,            0.032895
