   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.83558,             0.72727,             0.80336,              0.3737,             0.04903,            0.011082,           0.0023682,             0.00334,             0.15135,             0.74832,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.01041,             0.54703,             0.27739,                   0,             0.04591,             0.75544,                   0,                   0,                   0,                 0.5,             0.85834,             0.04266,                   0,                   3
             0.93432,             0.92727,             0.92895,             0.44658,            0.038975,           0.0094891,          0.00049524,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                   0,                   3
             0.94388,             0.93636,             0.96813,             0.56853,            0.033621,           0.0072079,          0.00090771,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.93432,             0.92727,             0.92895,             0.44658,            0.038975,           0.0094891,          0.00049524,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                 0.1,                   3
             0.77738,             0.74892,             0.78886,             0.32512,            0.049692,            0.011398,           0.0023354,             0.00258,                0.17,               0.779,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,              0.0188,               0.704,                0.36,                   0,              0.0902,               0.491,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.99043,             0.82906,             0.92132,             0.63843,            0.037246,           0.0087032,           0.0012697,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
              0.8822,               0.848,             0.88651,             0.32801,            0.050067,            0.010534,          0.00024657,            0.081013,            0.010147,             0.93798,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.061209,             0.30623,             0.52272,              7.1817,              0.4406,              0.1806,              3.1515,          0.00052283,             0.75874,             0.76426,             0.81588,            0.054177,             0.67261,                   3
             0.65926,             0.61553,             0.60167,             0.20863,            0.059594,             0.01235,           0.0045109,            0.054721,             0.37583,             0.73848,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.082654,             0.74272,             0.19042,              6.1316,             0.39489,              0.4333,              4.1246,          0.00013059,              0.7814,              0.3852,             0.74774,               0.435,            0.095596,                   3
             0.94023,             0.94185,             0.93258,             0.42361,            0.041723,           0.0080433,          0.00061636,            0.086521,             0.01639,             0.73415,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0093274,              0.3747,             0.19195,              2.7308,             0.22836,             0.36156,              2.0427,          0.00010325,            0.078574,              0.2875,             0.33161,              0.9825,             0.57299,                   3
             0.75908,             0.56113,             0.63172,             0.21237,            0.063207,            0.010021,           0.0015553,            0.069507,             0.29148,              0.9115,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.067903,             0.41114,             0.49147,              15.897,            0.052625,             0.85947,              4.5764,          0.00035311,              0.9149,             0.32901,             0.49661,              0.2317,             0.75216,                   3
             0.66867,             0.54589,             0.55483,             0.16475,            0.061475,            0.012272,           0.0013416,            0.066553,              0.9197,             0.89287,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.034009,              0.5069,              0.8408,              24.628,            0.065156,             0.18766,              1.6625,          8.1198e-05,              0.1169,             0.91607,             0.86269,             0.44665,             0.84066,                   3
