               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13895,             0.01943,            0.027729,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.068547,           0.0010868,           0.0010868
                   1,             0.11772,            0.017642,            0.019536,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.036203,           0.0020757,           0.0020757
                   2,            0.088513,            0.023962,             0.01813,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037322,           0.0029386,           0.0029386
                   3,             0.07839,             0.02343,            0.016881,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027731,           0.0027731,           0.0027731
                   4,            0.074167,             0.02189,             0.01651,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027731,           0.0027731,           0.0027731
                   5,            0.070052,            0.020556,            0.016301,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025841,           0.0025841,           0.0025841
                   6,            0.068415,            0.019438,            0.014605,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023952,           0.0023952,           0.0023952
                   7,            0.067404,            0.018285,            0.012813,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022062,           0.0022062,           0.0022062
                   8,             0.06506,            0.017902,            0.010442,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020172,           0.0020172,           0.0020172
                   9,            0.064526,            0.017594,           0.0090755,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018283,           0.0018283,           0.0018283
                  10,            0.062886,             0.01754,           0.0073748,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016393,           0.0016393,           0.0016393
                  11,            0.061751,            0.016999,           0.0065991,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014503,           0.0014503,           0.0014503
