               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12888,            0.024393,            0.027018,          0.00073964,               0.125,          0.00052705,          5.2705e-05,             0.12253,            0.012328,            0.017307,            0.070345,            0.003295,            0.003295
                   1,             0.10029,            0.020153,            0.014399,           0.0032358,             0.57143,            0.010467,             0.00186,            0.098931,            0.014463,            0.014577,            0.040315,           0.0065985,           0.0065985
                   2,             0.07783,            0.023004,            0.011469,           0.0027977,             0.64286,             0.03018,           0.0079236,            0.085119,              0.0153,             0.01188,            0.010255,            0.009872,            0.009872
                   3,            0.065614,            0.023872,           0.0098337,           0.0041142,                   1,             0.15763,             0.04918,             0.07618,            0.015713,            0.012495,            0.009865,            0.009865,            0.009865
                   4,            0.057516,            0.024201,           0.0077176,             0.18287,             0.60714,             0.27351,            0.094632,             0.06725,            0.016823,            0.007531,            0.009865,            0.009865,            0.009865
                   5,            0.053687,             0.02191,           0.0051957,                   1,             0.24059,             0.30968,             0.14928,             0.06134,            0.015551,           0.0056675,             0.00982,             0.00982,             0.00982
                   6,            0.049227,            0.019544,           0.0040766,                   1,               0.246,             0.40693,             0.23816,            0.062681,            0.013904,           0.0068249,            0.009775,            0.009775,            0.009775
                   7,             0.04889,            0.016514,           0.0028896,             0.55999,             0.28571,             0.49709,             0.18713,            0.055498,            0.013379,           0.0042133,             0.00973,             0.00973,             0.00973
                   8,            0.046972,            0.013935,           0.0023573,             0.38946,             0.60644,             0.48779,             0.25051,            0.048651,            0.011139,           0.0031029,            0.009685,            0.009685,            0.009685
                   9,            0.044528,            0.011923,           0.0020651,             0.49277,             0.67873,             0.69261,             0.31974,            0.048683,           0.0094357,            0.004586,             0.00964,             0.00964,             0.00964
                  10,            0.042237,            0.010531,           0.0018278,             0.46638,             0.66071,             0.60365,             0.31224,            0.047394,           0.0091715,            0.002578,            0.009595,            0.009595,            0.009595
                  11,            0.042404,           0.0096951,           0.0017957,             0.69057,             0.57143,             0.75111,             0.43679,            0.044997,           0.0081568,           0.0024042,             0.00955,             0.00955,             0.00955
                  12,             0.03977,           0.0088612,           0.0017505,             0.68703,             0.57143,             0.73491,             0.40881,            0.042109,           0.0074658,            0.002278,            0.009505,            0.009505,            0.009505
                  13,            0.038797,           0.0083784,           0.0015212,             0.68827,             0.85301,             0.82717,             0.44513,            0.040279,           0.0075288,           0.0023012,             0.00946,             0.00946,             0.00946
                  14,            0.037902,           0.0081987,           0.0014881,             0.89503,             0.73214,             0.88103,             0.47669,            0.037892,           0.0071907,           0.0018485,            0.009415,            0.009415,            0.009415
