   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.16826,             0.32143,             0.22468,             0.08289,            0.065048,            0.015572,           0.0091755,             0.00334,             0.15135,             0.74832,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.01041,             0.54703,             0.27739,                   0,             0.04591,             0.75544,                   0,                   0,                   0,                 0.5,             0.85834,             0.04266,                   0,                   3
             0.53318,             0.74076,             0.71136,             0.36765,            0.047835,            0.011169,            0.001942,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                   0,                   3
               0.698,             0.73214,             0.76672,             0.46145,            0.042485,            0.011374,           0.0021121,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.53318,             0.74076,             0.71136,             0.36765,            0.047835,            0.011169,            0.001942,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                 0.1,                   3
            0.034594,             0.42857,             0.10871,            0.033644,            0.061034,            0.016897,            0.010341,             0.00258,                0.17,               0.779,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,              0.0188,               0.704,                0.36,                   0,              0.0902,               0.491,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.97341,             0.80357,             0.93534,             0.67134,            0.036596,           0.0070043,           0.0015232,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.30484,             0.55357,             0.54853,             0.27227,            0.059895,            0.013384,           0.0039592,            0.014863,             0.58617,             0.63134,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.018627,             0.68855,             0.44177,              1.5145,             0.63058,            0.077679,             0.99918,          0.00079521,            0.096636,             0.29563,              0.8919,             0.95309,              0.6068,                   3
             0.62763,              0.5544,             0.59159,             0.21914,            0.069239,            0.016639,           0.0027313,            0.039194,            0.059595,             0.82499,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.083421,             0.34931,             0.27244,              28.416,             0.88167,             0.88464,              9.7331,          0.00092575,             0.92272,             0.88395,             0.83181,             0.98069,             0.88552,                   3
            0.024511,             0.33929,             0.14829,            0.067026,            0.080264,            0.014853,           0.0071152,            0.088681,             0.92302,             0.87889,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.014189,             0.20498,             0.67846,              20.108,              0.7513,             0.42454,              8.2514,          0.00027297,             0.66754,             0.62951,             0.73725,             0.26432,             0.48233,                   3
            0.022745,               0.375,            0.028714,            0.005971,            0.087487,            0.015307,            0.017334,            0.099952,             0.84885,             0.62995,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.033028,             0.89038,             0.37138,              32.421,               0.743,             0.54872,             0.63919,          0.00089007,             0.17914,             0.61929,             0.93859,             0.53121,             0.51664,                   3
             0.51248,                0.75,             0.63555,             0.22755,              0.0614,            0.013782,           0.0004303,            0.066267,             0.14961,             0.97675,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.079333,              0.1234,             0.66913,               17.37,             0.25598,             0.31275,              7.9104,          0.00048234,            0.015169,              0.3553,            0.025239,              0.7135,             0.22798,                   3
             0.25232,             0.36226,             0.16954,            0.089282,              0.0814,            0.011585,            0.011469,            0.051766,             0.74246,             0.83251,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.06521,             0.87763,             0.23926,              36.425,             0.55658,             0.70019,              5.5193,          0.00034995,             0.62189,             0.48172,             0.42113,             0.11316,             0.75076,                   3
