               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14467,            0.025214,            0.029818,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.06815,           0.0011005,           0.0011005
                   1,             0.13556,            0.017239,            0.024128,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.035805,           0.0020886,           0.0020886
                   2,             0.13036,            0.014842,            0.020266,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033339,           0.0029507,           0.0029507
                   3,             0.12154,            0.016652,            0.016928,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027731,           0.0027731,           0.0027731
                   4,             0.11273,            0.017473,            0.015553,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027731,           0.0027731,           0.0027731
                   5,              0.1042,            0.019623,            0.016791,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025841,           0.0025841,           0.0025841
                   6,            0.098662,            0.020205,             0.01755,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023952,           0.0023952,           0.0023952
                   7,            0.094168,            0.021739,            0.015231,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022062,           0.0022062,           0.0022062
                   8,            0.091326,             0.02178,             0.01462,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020172,           0.0020172,           0.0020172
                   9,            0.086029,            0.022691,            0.014149,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018283,           0.0018283,           0.0018283
                  10,            0.084777,            0.022392,              0.0143,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016393,           0.0016393,           0.0016393
                  11,            0.081233,            0.021672,             0.01511,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014503,           0.0014503,           0.0014503
                  12,            0.080883,            0.022739,            0.014131,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012614,           0.0012614,           0.0012614
                  13,            0.078994,            0.022953,             0.01289,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010724,           0.0010724,           0.0010724
                  14,            0.077337,            0.021943,             0.01402,             0.16826,             0.32143,             0.22468,             0.08289,            0.065048,            0.015572,           0.0091755,          0.00088344,          0.00088344,          0.00088344
                   0,             0.14194,            0.022536,            0.028687,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070345,            0.003295,            0.003295
                   1,               0.128,            0.013899,             0.02067,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039947,           0.0062307,           0.0062307
                   2,             0.11236,            0.015702,            0.018297,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091494,           0.0087663,           0.0087663
                   3,            0.099977,            0.019484,            0.017316,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0082,              0.0082,              0.0082
                   4,            0.090575,            0.019919,            0.016809,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0082,              0.0082,              0.0082
                   5,             0.08363,            0.021619,            0.016122,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0076,              0.0076,              0.0076
                   6,            0.079269,            0.020879,             0.01429,                   0,                   0,                   0,                   0,                   0,                   0,                   0,               0.007,               0.007,               0.007
                   7,            0.076462,             0.02055,            0.013419,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0064,              0.0064,              0.0064
                   8,              0.0749,            0.019776,            0.011553,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0058,              0.0058,              0.0058
                   9,            0.070689,            0.019805,           0.0089949,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0052,              0.0052,              0.0052
                  10,            0.072089,            0.018873,           0.0081477,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0046,              0.0046,              0.0046
                  11,            0.070311,            0.018953,           0.0068505,                   0,                   0,                   0,                   0,                   0,                   0,                   0,               0.004,               0.004,               0.004
                  12,             0.06666,             0.01869,           0.0061862,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0034,              0.0034,              0.0034
                  13,            0.065366,            0.018102,            0.005809,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0028,              0.0028,              0.0028
                  14,            0.061424,            0.017047,           0.0045978,             0.53318,             0.74076,             0.71136,             0.36765,            0.047835,            0.011169,            0.001942,              0.0022,              0.0022,              0.0022
                   0,             0.13715,            0.023327,            0.027571,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070345,            0.003295,            0.003295
                   1,             0.12134,            0.016722,            0.017036,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039907,           0.0061909,           0.0061909
                   2,            0.098484,            0.020932,            0.015282,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0090299,           0.0086467,           0.0086467
                   3,            0.086924,            0.023077,            0.013588,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   4,            0.082056,            0.021031,            0.011016,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   5,            0.075241,            0.023005,           0.0086265,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                   6,            0.069965,            0.020901,           0.0065389,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                   7,            0.065594,            0.021283,            0.005418,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                   8,            0.061429,            0.019907,            0.003795,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                   9,            0.060007,            0.018418,           0.0031671,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00472,             0.00472,             0.00472
                  10,            0.057403,            0.016492,           0.0028361,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  11,              0.0536,            0.016534,           0.0021402,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0034,              0.0034,              0.0034
                  12,            0.052237,            0.016447,           0.0022322,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00274,             0.00274,             0.00274
                  13,            0.048383,            0.015926,           0.0021271,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.047373,            0.015142,           0.0013945,               0.698,             0.73214,             0.76672,             0.46145,            0.042485,            0.011374,           0.0021121,             0.00142,             0.00142,             0.00142
                   0,             0.14194,            0.022536,            0.028687,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070345,            0.003295,            0.003295
