   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.78749,               0.125,             0.31188,             0.12396,            0.059768,            0.016308,            0.012097,             0.00334,             0.15135,             0.74832,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.01041,             0.54703,             0.27739,                   0,             0.04591,             0.75544,                   0,                   0,                   0,                 0.5,             0.85834,             0.04266,                   0,                   3
             0.58944,                0.75,             0.81008,             0.46755,             0.04144,            0.010874,           0.0014305,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                   0,                   3
             0.91142,             0.82438,             0.95243,              0.5951,            0.035182,           0.0092583,           0.0052811,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.58944,                0.75,             0.81008,             0.46755,             0.04144,            0.010874,           0.0014305,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                 0.1,                   3
             0.56136,             0.39286,             0.27556,             0.12392,            0.057482,            0.016144,            0.012238,             0.00258,                0.17,               0.779,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,              0.0188,               0.704,                0.36,                   0,              0.0902,               0.491,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
                   1,             0.67805,             0.89448,             0.58736,            0.039562,           0.0076828,           0.0015652,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
           0.0023956,             0.57143,            0.044923,            0.012397,             0.08343,            0.015978,            0.010928,            0.077018,             0.58996,             0.94592,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.053202,             0.38997,             0.57055,              43.343,             0.81928,             0.60234,              1.4071,          0.00070396,             0.83169,             0.64986,             0.73243,             0.18824,             0.52681,                   3
             0.23791,             0.55357,             0.29297,             0.05749,             0.07259,            0.012634,           0.0011333,            0.011464,             0.70753,             0.96921,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.034443,             0.85025,             0.71038,               27.64,             0.58939,            0.024779,              1.9476,          0.00082729,             0.59788,             0.85139,             0.23539,            0.078518,             0.67118,                   3
            0.040827,             0.14286,            0.040821,            0.011518,            0.081625,            0.013033,            0.019238,            0.097649,             0.48218,              0.6466,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.060806,            0.029948,           0.0030402,              19.229,             0.54508,             0.86566,               9.925,          0.00056689,             0.73616,             0.57304,             0.59853,             0.10738,               0.239,                   3
             0.80221,             0.55983,             0.70312,             0.22335,             0.05667,            0.012104,            0.009256,           0.0076073,              0.6672,             0.97447,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.062397,             0.56911,            0.044229,              7.2138,             0.60863,             0.12722,              2.9442,          0.00054615,            0.054156,             0.21988,             0.12942,             0.82589,             0.95675,                   3
              0.5671,             0.52677,             0.45104,             0.13207,            0.077636,           0.0093136,            0.010132,            0.092134,             0.42457,             0.90735,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.096418,             0.55703,             0.01411,               34.82,            0.068768,             0.35206,              4.9435,          0.00019595,             0.40191,             0.80583,             0.20346,            0.029878,             0.82505,                   3
             0.32477,                0.75,             0.43184,             0.12648,            0.063733,            0.013477,           0.0056305,            0.062426,             0.86351,             0.81374,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.047754,              0.7467,             0.55438,              22.371,             0.16676,              0.7763,              6.0264,          0.00096269,             0.64256,              0.5153,             0.74764,             0.79459,             0.34473,                   3
             0.89641,             0.69643,             0.73338,             0.13379,            0.063359,             0.01009,           0.0012339,            0.034498,             0.31413,             0.88581,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.031427,             0.80939,             0.60869,              40.901,              0.3566,             0.11051,              6.8995,          0.00035099,             0.65575,             0.06472,             0.29076,             0.79947,             0.82348,                   3
             0.50115,             0.67808,             0.44993,            0.098007,            0.075465,           0.0088787,           0.0098145,            0.040246,             0.27898,             0.84585,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.041002,             0.75604,             0.11361,              24.675,             0.37699,             0.47722,              9.7857,          0.00019198,             0.95999,             0.30254,             0.56112,             0.26445,             0.63902,                   3
             0.37747,             0.42857,             0.33104,            0.095623,             0.06816,            0.012575,           0.0051552,            0.086429,             0.72084,             0.70565,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.005552,             0.41771,             0.21311,              1.1141,             0.37782,             0.68686,             0.99747,          0.00044465,              0.7539,             0.73658,            0.097086,             0.10299,             0.30005,                   3
             0.52742,             0.72264,             0.62836,             0.22287,            0.059777,            0.010162,           0.0023407,            0.058874,            0.043109,             0.61262,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0070845,             0.35632,             0.38354,              16.368,             0.37621,             0.66946,              0.5959,          0.00020496,             0.28313,             0.61391,             0.73139,             0.64041,             0.81974,                   3
             0.31396,             0.32093,             0.29742,            0.087921,             0.07593,            0.014019,           0.0073425,            0.068114,              0.7431,             0.91228,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.071864,             0.83497,             0.89907,              31.573,             0.35159,             0.19758,              5.1946,          0.00081428,             0.15302,             0.23234,            0.065983,              0.4803,             0.51529,                   3
             0.48673,             0.65235,             0.59263,             0.25271,            0.050112,            0.012499,           0.0084183,            0.068705,             0.46471,             0.60038,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.078538,             0.52479,           0.0054281,              7.9026,             0.56715,             0.21385,              2.9379,          0.00014252,             0.88184,             0.76818,             0.90351,             0.21501,             0.17528,                   3
             0.36592,             0.39286,             0.32842,             0.11169,            0.072005,            0.013428,            0.013165,           0.0034793,             0.64731,             0.87356,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.083895,             0.15696,              0.6487,               37.23,             0.84808,             0.73457,              5.5267,          0.00069837,             0.47149,             0.90074,             0.68243,             0.67082,            0.015292,                   3
