               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13133,            0.023613,            0.026536,          0.00041494,               0.125,          0.00027238,          5.4475e-05,             0.12098,            0.013134,            0.020844,            0.076281,           0.0042809,           0.0042809
                   1,             0.09957,            0.019705,            0.013396,           0.0015244,               0.375,           0.0059555,           0.0010249,             0.10389,            0.014042,            0.018484,            0.051686,            0.008686,            0.008686
                   2,             0.08258,            0.021132,           0.0097983,           0.0042471,             0.80357,            0.044807,            0.019438,            0.090828,            0.014864,            0.012363,            0.027062,            0.013062,            0.013062
                   3,            0.077588,            0.020852,           0.0069131,           0.0022061,             0.32143,           0.0099347,            0.001892,            0.084399,            0.016842,            0.031677,            0.015138,            0.015138,            0.015138
                   4,            0.068629,             0.02053,           0.0056012,            0.016382,             0.33929,            0.032093,           0.0071289,            0.075256,            0.018852,            0.021033,            0.015138,            0.015138,            0.015138
                   5,            0.063781,            0.018608,           0.0033804,             0.21722,             0.44643,             0.18838,             0.10149,            0.078916,            0.014566,            0.017502,            0.015087,            0.015087,            0.015087
                   6,            0.058348,            0.016064,           0.0028244,             0.33824,             0.33929,             0.28777,            0.083859,            0.064406,            0.015594,            0.027283,            0.015037,            0.015037,            0.015037
                   7,            0.056853,            0.013961,           0.0037065,             0.23598,             0.53571,              0.4478,             0.19462,            0.055736,            0.012394,           0.0085815,            0.014986,            0.014986,            0.014986
                   8,            0.054162,             0.01237,           0.0024702,             0.17265,             0.44643,             0.26692,            0.075982,            0.066737,            0.013554,            0.017941,            0.014936,            0.014936,            0.014936
                   9,            0.052373,            0.010414,           0.0018124,             0.51439,             0.42857,             0.54126,             0.29156,            0.057091,             0.01609,            0.012806,            0.014885,            0.014885,            0.014885
                  10,            0.051625,            0.010156,           0.0016696,             0.47327,             0.75575,              0.6516,              0.2966,            0.051806,            0.011608,           0.0037476,            0.014835,            0.014835,            0.014835
                  11,            0.046863,           0.0092778,            0.001529,             0.58866,             0.46196,             0.54714,             0.29432,            0.049735,            0.011185,            0.011591,            0.014784,            0.014784,            0.014784
                  12,            0.046129,           0.0088881,           0.0012377,             0.87425,             0.66503,             0.75928,             0.40643,             0.04331,            0.011957,            0.005838,            0.014734,            0.014734,            0.014734
                  13,            0.042659,           0.0087427,           0.0011783,             0.69648,             0.60714,             0.69448,             0.37262,            0.048338,            0.010002,            0.011258,            0.014684,            0.014684,            0.014684
                  14,            0.043252,           0.0082921,           0.0011504,             0.87326,             0.83929,             0.86788,             0.47884,            0.039518,           0.0086098,           0.0039345,            0.014633,            0.014633,            0.014633
                  15,            0.041492,           0.0077693,           0.0010362,             0.92544,             0.71429,             0.91052,             0.48331,            0.039127,           0.0092106,           0.0053528,            0.014583,            0.014583,            0.014583
                  16,            0.039634,           0.0077543,           0.0010315,             0.92701,             0.71385,             0.80673,              0.3772,            0.041641,           0.0084896,            0.017679,            0.014532,            0.014532,            0.014532
                  17,            0.037898,           0.0074683,           0.0010908,              0.9356,             0.82341,             0.89915,             0.47282,            0.039916,           0.0087833,           0.0031181,            0.014482,            0.014482,            0.014482
                  18,            0.036449,           0.0075326,           0.0012434,             0.96624,             0.75133,             0.94061,             0.53042,            0.037007,           0.0085583,            0.001482,            0.014431,            0.014431,            0.014431
                  19,            0.036839,           0.0074479,           0.0015064,             0.87141,             0.83929,             0.94146,             0.55217,            0.035258,           0.0081978,           0.0036148,            0.014381,            0.014381,            0.014381
                  20,            0.036628,           0.0072051,          0.00086524,             0.97864,             0.86837,               0.895,             0.48584,            0.034842,           0.0079727,           0.0057564,             0.01433,             0.01433,             0.01433
                  21,             0.03586,           0.0071972,          0.00084967,              0.9047,             0.95087,             0.94664,             0.49594,            0.037316,           0.0088139,            0.001199,             0.01428,             0.01428,             0.01428
                  22,            0.035534,           0.0070923,           0.0012179,             0.95189,             0.83929,             0.96313,             0.52583,            0.033472,           0.0080299,            0.006778,            0.014229,            0.014229,            0.014229
                  23,            0.036275,           0.0070296,          0.00092268,             0.97497,             0.74905,             0.91932,             0.54041,            0.032148,           0.0083656,            0.012057,            0.014179,            0.014179,            0.014179
                  24,            0.034414,           0.0070849,          0.00082854,             0.94241,             0.71429,             0.82456,             0.50824,            0.031363,           0.0082436,             0.01485,            0.014129,            0.014129,            0.014129
                  25,            0.033255,           0.0066572,          0.00074414,             0.94316,             0.98299,             0.99267,             0.66101,            0.034455,           0.0071526,           0.0014641,            0.014078,            0.014078,            0.014078
                  26,            0.034696,           0.0068557,          0.00081371,             0.94728,             0.83352,             0.89257,             0.49323,             0.03555,           0.0073967,           0.0086731,            0.014028,            0.014028,            0.014028
                  27,            0.033703,           0.0066815,           0.0012546,             0.96328,             0.83929,             0.84985,             0.56869,            0.037274,           0.0087242,           0.0050659,            0.013977,            0.013977,            0.013977
                  28,            0.032994,           0.0066206,          0.00083396,             0.97216,             0.83929,             0.91767,             0.54416,            0.033133,           0.0073929,           0.0072067,            0.013927,            0.013927,            0.013927
                  29,             0.03167,           0.0068111,           0.0010508,             0.94339,             0.98823,               0.995,              0.6671,            0.030801,           0.0072174,           0.0021187,            0.013876,            0.013876,            0.013876
                  30,            0.030937,           0.0065865,          0.00082509,             0.99235,             0.83929,             0.92685,             0.57241,             0.03394,            0.008419,           0.0051392,            0.013826,            0.013826,            0.013826
                  31,            0.032035,           0.0064048,           0.0012033,              0.9646,             0.71451,             0.93242,             0.55525,            0.035848,           0.0098267,            0.012393,            0.013775,            0.013775,            0.013775
                  32,            0.030721,           0.0060668,          0.00065216,             0.93468,             0.82151,             0.91622,             0.57452,            0.031208,           0.0075779,           0.0074051,            0.013725,            0.013725,            0.013725
                  33,            0.030701,           0.0065551,          0.00091454,             0.99161,             0.99332,               0.995,             0.70397,            0.027941,           0.0065956,          0.00091419,            0.013674,            0.013674,            0.013674
                  34,            0.030175,           0.0064311,           0.0016133,              0.9767,                   1,               0.995,             0.64408,            0.030675,           0.0068979,           0.0011103,            0.013624,            0.013624,            0.013624
                  35,            0.030655,           0.0067898,          0.00072626,             0.98955,             0.99496,               0.995,             0.59437,            0.032745,           0.0076389,          0.00098629,            0.013574,            0.013574,            0.013574
                  36,            0.030431,           0.0063724,          0.00064754,             0.94337,             0.96519,               0.995,             0.67128,            0.029655,           0.0069656,           0.0042534,            0.013523,            0.013523,            0.013523
                  37,            0.030712,           0.0065211,          0.00085009,             0.98427,               0.875,             0.90571,             0.50863,            0.032133,           0.0068712,           0.0076569,            0.013473,            0.013473,            0.013473
                  38,            0.030005,           0.0063556,          0.00076453,             0.91784,             0.84424,              0.9192,             0.60484,            0.031656,           0.0072498,           0.0078918,            0.013422,            0.013422,            0.013422
                  39,             0.02943,           0.0061248,          0.00074146,             0.99845,              0.9946,               0.995,             0.63192,            0.030974,           0.0067692,          0.00096951,            0.013372,            0.013372,            0.013372
                  40,            0.029144,           0.0059831,          0.00054226,             0.99367,             0.99068,               0.995,             0.65488,            0.030058,           0.0078201,          0.00094986,            0.013321,            0.013321,            0.013321
                  41,            0.029504,           0.0059079,          0.00050923,              0.9801,             0.83929,             0.96382,             0.68269,            0.027635,           0.0078506,           0.0047661,            0.013271,            0.013271,            0.013271
                  42,            0.028131,           0.0057668,          0.00045049,             0.99087,                   1,               0.995,             0.67124,            0.033537,           0.0072374,           0.0015156,             0.01322,             0.01322,             0.01322
                  43,            0.029829,           0.0062421,          0.00058796,             0.94256,             0.99074,               0.995,             0.61623,            0.030211,           0.0068283,           0.0044029,             0.01317,             0.01317,             0.01317
                  44,            0.028298,           0.0059206,          0.00048317,             0.99163,             0.94903,             0.97885,              0.6488,            0.028345,            0.008522,           0.0012039,            0.013119,            0.013119,            0.013119
                  45,            0.027681,           0.0057591,          0.00046821,             0.94331,             0.93481,             0.98333,             0.68716,            0.027351,           0.0079536,           0.0029854,            0.013069,            0.013069,            0.013069
                  46,            0.026664,           0.0058204,          0.00098859,             0.95543,             0.85825,             0.89633,             0.63971,            0.028317,           0.0072098,           0.0090912,            0.013019,            0.013019,            0.013019
                  47,            0.027583,             0.00556,          0.00074502,             0.94471,               0.875,             0.96767,             0.63251,            0.029228,           0.0067158,           0.0064293,            0.012968,            0.012968,            0.012968
                  48,            0.026853,           0.0056474,          0.00058069,             0.95124,             0.99249,               0.995,             0.64135,            0.026548,           0.0070343,           0.0037155,            0.012918,            0.012918,            0.012918
                  49,            0.026541,           0.0054435,          0.00068366,             0.95868,             0.99154,             0.99267,             0.64695,            0.028615,           0.0073452,           0.0029228,            0.012867,            0.012867,            0.012867
                  50,            0.027206,           0.0056794,          0.00080351,             0.93189,             0.99363,               0.995,             0.60252,            0.029015,           0.0068111,           0.0025017,            0.012817,            0.012817,            0.012817
                  51,            0.026882,           0.0054312,          0.00044085,             0.97831,                   1,               0.995,             0.62162,            0.028246,           0.0070133,           0.0015295,            0.012766,            0.012766,            0.012766
                  52,             0.02561,           0.0055403,          0.00054006,             0.80679,                   1,               0.945,             0.61769,            0.027303,           0.0065584,           0.0065628,            0.012716,            0.012716,            0.012716
                  53,            0.025589,           0.0056152,           0.0005702,              0.9256,             0.98412,               0.995,             0.63484,            0.029127,           0.0065565,           0.0040337,            0.012665,            0.012665,            0.012665
                  54,            0.025156,           0.0055355,          0.00054387,             0.98822,                   1,               0.995,              0.6518,            0.026798,           0.0072603,          0.00085163,            0.012615,            0.012615,            0.012615
                  55,            0.025334,           0.0053699,           0.0005116,             0.98713,                   1,               0.995,             0.68224,            0.025675,           0.0067444,          0.00082493,            0.012565,            0.012565,            0.012565
                  56,            0.025469,           0.0053469,          0.00046006,             0.98631,                   1,               0.995,             0.71657,            0.025219,           0.0063314,           0.0011568,            0.012514,            0.012514,            0.012514
                  57,            0.025505,           0.0053262,          0.00051923,             0.95411,             0.99108,               0.995,             0.66068,            0.029956,           0.0066299,           0.0029202,            0.012464,            0.012464,            0.012464
                  58,            0.024005,           0.0052074,          0.00040852,              0.9333,               0.875,             0.96533,             0.60775,             0.02999,           0.0062075,           0.0077484,            0.012413,            0.012413,            0.012413
                  59,            0.027566,           0.0054979,          0.00049671,             0.98292,             0.99123,               0.995,             0.69876,            0.025637,           0.0072155,           0.0014355,            0.012363,            0.012363,            0.012363
                  60,            0.024238,           0.0053803,           0.0004756,             0.99044,             0.97476,               0.995,             0.67348,            0.024657,            0.006918,          0.00041885,            0.012312,            0.012312,            0.012312
                  61,            0.024761,           0.0052964,          0.00056864,             0.91293,             0.86684,             0.91156,             0.59316,            0.027373,            0.006732,            0.015347,            0.012262,            0.012262,            0.012262
                  62,             0.02469,           0.0052987,          0.00076512,             0.91369,             0.86094,              0.8834,             0.61414,            0.028294,           0.0067797,            0.017575,            0.012211,            0.012211,            0.012211
                  63,            0.024952,            0.005376,          0.00092174,             0.98444,              0.9857,               0.995,             0.70117,            0.024734,            0.006918,          0.00048065,            0.012161,            0.012161,            0.012161
                  64,            0.024403,           0.0052813,          0.00054937,             0.98179,               0.875,                0.97,             0.61823,            0.027824,           0.0068665,           0.0036564,             0.01211,             0.01211,             0.01211
                  65,            0.023815,           0.0051695,          0.00046573,             0.97182,             0.80357,             0.88806,             0.61566,            0.027572,           0.0079403,            0.009288,             0.01206,             0.01206,             0.01206
                  66,            0.025341,           0.0054432,          0.00048592,             0.95967,             0.99068,               0.995,             0.73526,             0.02429,           0.0070591,           0.0015148,             0.01201,             0.01201,             0.01201
                  67,            0.024592,           0.0053808,          0.00085369,             0.98577,                   1,               0.995,             0.73703,            0.023588,           0.0062199,          0.00075111,            0.011959,            0.011959,            0.011959
                  68,            0.023638,           0.0053221,          0.00048567,             0.98425,                   1,               0.995,             0.70447,            0.025932,           0.0063534,          0.00045948,            0.011909,            0.011909,            0.011909
                  69,              0.0232,           0.0052021,          0.00052586,             0.99068,             0.99814,               0.995,              0.7303,            0.025587,           0.0064535,          0.00051517,            0.011858,            0.011858,            0.011858
                  70,            0.022738,           0.0052611,          0.00071921,             0.93955,             0.87345,             0.89708,             0.65112,            0.026489,           0.0065794,            0.011169,            0.011808,            0.011808,            0.011808
                  71,            0.025151,           0.0052808,          0.00045284,             0.98927,                   1,               0.995,             0.73157,            0.024418,           0.0064411,          0.00053158,            0.011757,            0.011757,            0.011757
                  72,            0.023169,           0.0051323,          0.00043291,             0.96423,               0.875,             0.95333,             0.70741,            0.025542,           0.0064306,           0.0076141,            0.011707,            0.011707,            0.011707
                  73,              0.0237,           0.0050237,          0.00032976,              0.9179,             0.86941,             0.96767,             0.63376,            0.028889,           0.0059013,            0.012546,            0.011656,            0.011656,            0.011656
                  74,            0.022899,           0.0051804,          0.00031419,             0.93949,             0.98638,               0.995,             0.68578,            0.026461,           0.0065489,           0.0070984,            0.011606,            0.011606,            0.011606
                  75,            0.022337,           0.0050743,          0.00044246,             0.98873,                   1,               0.995,             0.63234,            0.029654,           0.0068674,            0.000424,            0.011555,            0.011555,            0.011555
                  76,             0.02277,           0.0050717,          0.00039177,              0.9735,             0.99663,               0.995,             0.67843,            0.028275,            0.006937,          0.00090656,            0.011505,            0.011505,            0.011505
                  77,            0.022873,           0.0050712,          0.00040409,             0.94647,             0.99352,               0.995,             0.66324,            0.026712,           0.0066566,           0.0026344,            0.011455,            0.011455,            0.011455
