   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.78749,               0.125,             0.31188,             0.12396,            0.059768,            0.016308,            0.012097,             0.00334,             0.15135,             0.74832,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.01041,             0.54703,             0.27739,                   0,             0.04591,             0.75544,                   0,                   0,                   0,                 0.5,             0.85834,             0.04266,                   0,                   3
             0.58944,                0.75,             0.81008,             0.46755,             0.04144,            0.010874,           0.0014305,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                   0,                   3
             0.91142,             0.82438,             0.95243,              0.5951,            0.035182,           0.0092583,           0.0052811,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.58944,                0.75,             0.81008,             0.46755,             0.04144,            0.010874,           0.0014305,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                 0.1,                   3
             0.56136,             0.39286,             0.27556,             0.12392,            0.057482,            0.016144,            0.012238,             0.00258,                0.17,               0.779,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,              0.0188,               0.704,                0.36,                   0,              0.0902,               0.491,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
                   1,             0.67805,             0.89448,             0.58736,            0.039562,           0.0076828,           0.0015652,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.80742,              0.1718,             0.34124,            0.083942,            0.074605,            0.012829,             0.01626,            0.032753,             0.74407,              0.6179,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.048083,             0.67343,            0.084368,              40.448,             0.30321,             0.63056,              5.6952,           0.0009439,            0.059798,               0.664,             0.57678,             0.97528,             0.71788,                   3
             0.76252,               0.625,             0.72701,             0.28428,            0.058548,            0.010271,           0.0035133,            0.082936,            0.077266,             0.76807,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.071725,             0.69247,          0.00049608,              26.884,             0.54998,             0.24093,              7.0184,          0.00091541,             0.97065,             0.53072,             0.37023,             0.73794,             0.46502,                   3
              0.7988,                0.75,             0.78776,             0.25931,             0.05237,            0.012966,           0.0039589,            0.023963,            0.031551,             0.66399,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.05833,             0.42187,             0.49262,              25.281,             0.18982,             0.78248,              8.8432,          0.00089963,             0.56135,             0.33828,             0.80722,             0.82198,            0.073289,                   3
           0.0037709,             0.51786,            0.011377,           0.0035764,            0.080653,            0.016396,            0.019174,             0.04589,             0.57302,              0.7761,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.060384,             0.65153,             0.89165,              34.008,             0.72367,             0.71494,              6.0067,          0.00087627,             0.32151,           0.0086717,            0.098956,             0.09054,             0.93831,                   3
           0.0054058,             0.96429,             0.47163,             0.11912,            0.060806,            0.016914,           0.0025639,            0.099516,             0.31332,             0.84938,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.018741,              0.5136,             0.25899,              4.8159,             0.74202,             0.28437,               6.736,          0.00012201,             0.79443,            0.034705,             0.13224,             0.67046,             0.28635,                   3
             0.29778,                0.54,             0.40837,             0.14412,            0.064327,           0.0097733,              0.0134,            0.082429,             0.86602,             0.86455,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.043888,             0.77502,             0.17352,              32.729,             0.42687,             0.16153,               1.583,          0.00044423,             0.17893,            0.065762,           0.0097881,            0.068841,             0.26586,                   3
             0.42489,             0.46429,             0.36993,             0.10936,            0.071664,            0.011114,           0.0049316,            0.043488,              0.4638,              0.6337,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.014741,             0.82574,            0.094541,              5.7605,            0.071957,             0.50305,             0.44148,          0.00067605,             0.57549,             0.64803,              0.6906,             0.92047,              0.5646,                   3
            0.052987,             0.05978,           0.0098291,          0.00098291,            0.091731,            0.017159,            0.020099,            0.080557,             0.40191,             0.94491,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.045909,             0.79651,             0.82356,              40.415,             0.41443,             0.13025,             0.36598,          0.00025947,              0.6213,             0.88762,             0.70221,             0.62863,             0.30221,                   3
               0.992,                0.25,             0.50493,             0.10743,             0.06882,            0.014469,            0.010623,            0.075986,             0.34952,             0.86987,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.070704,           0.0054439,             0.57282,              36.808,             0.89001,            0.025329,              6.7481,          0.00058207,             0.78922,              0.6444,             0.79571,             0.77845,             0.88518,                   3
          0.00089002,             0.16071,          0.00058969,          5.8969e-05,             0.11386,            0.014549,            0.020435,          0.00033237,             0.99347,             0.65488,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.055429,             0.28391,             0.24802,              37.326,              0.2219,             0.32166,              8.4497,          0.00068734,             0.65571,             0.54225,             0.42497,             0.19636,             0.32488,                   3
             0.35881,             0.52249,             0.47541,             0.17101,            0.058891,            0.010345,             0.00238,             0.09663,             0.42027,             0.96379,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.030182,              0.8741,             0.15862,              5.6012,             0.17571,             0.29589,              5.3145,          2.2771e-05,             0.01839,             0.18395,              0.3293,             0.70403,             0.38757,                   3
             0.32724,                0.25,             0.20949,            0.054992,            0.096519,           0.0075912,             0.01228,            0.059647,             0.70746,             0.75608,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.088563,             0.65563,             0.45372,              36.303,              0.2061,             0.38401,             0.30201,          0.00073123,             0.10066,             0.11853,             0.96382,             0.49559,             0.28299,                   3
             0.75153,              0.7154,             0.78136,             0.24126,            0.060267,            0.011072,           0.0033018,             0.04799,             0.12994,               0.646,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.020148,             0.23234,             0.17628,              14.988,             0.16248,             0.72256,              2.6557,           0.0006169,             0.83458,             0.29595,              0.6665,             0.11115,             0.99408,                   3
