               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13936,            0.020625,            0.029366,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.068512,            0.001088,            0.001088
                   1,             0.12592,            0.015558,            0.021103,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.036168,           0.0020768,           0.0020768
                   2,             0.10185,            0.020989,            0.018661,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036972,           0.0029396,           0.0029396
                   3,            0.086329,            0.023768,            0.018089,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027731,           0.0027731,           0.0027731
                   4,            0.078533,            0.024009,            0.017222,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027731,           0.0027731,           0.0027731
                   5,            0.075136,            0.023225,            0.017061,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025841,           0.0025841,           0.0025841
                   6,            0.071569,              0.0224,            0.015117,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023952,           0.0023952,           0.0023952
                   7,            0.069683,            0.021635,            0.014459,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022062,           0.0022062,           0.0022062
                   8,            0.068121,            0.020358,            0.013547,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020172,           0.0020172,           0.0020172
                   9,            0.065938,            0.020512,            0.012654,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018283,           0.0018283,           0.0018283
                  10,            0.065137,            0.019318,            0.010647,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016393,           0.0016393,           0.0016393
                  11,            0.065343,            0.019382,           0.0095891,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014503,           0.0014503,           0.0014503
                  12,            0.063524,            0.018168,           0.0085648,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012614,           0.0012614,           0.0012614
                  13,            0.062885,            0.018676,           0.0080466,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010724,           0.0010724,           0.0010724
                  14,            0.061067,            0.018001,           0.0074363,             0.52027,             0.79487,             0.67138,             0.30895,            0.049753,            0.013243,           0.0036354,          0.00088344,          0.00088344,          0.00088344
                   0,             0.13703,            0.018682,            0.026816,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070682,           0.0032576,           0.0032576
