               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11046,            0.023642,            0.023671,           0.0027958,             0.46154,            0.015581,           0.0035791,            0.089345,            0.017014,            0.012534,              0.0712,              0.0032,              0.0032
                   1,            0.057861,            0.025497,            0.012306,               0.141,             0.35641,             0.17111,            0.052397,            0.065302,            0.020126,           0.0065674,            0.041488,           0.0064878,           0.0064878
                   2,            0.052295,            0.016619,             0.00583,             0.96736,                 0.2,             0.30371,             0.15845,             0.06402,             0.01523,           0.0033195,            0.011763,           0.0097634,           0.0097634
                   3,            0.050229,            0.010612,           0.0026738,             0.15032,             0.46923,             0.23171,            0.092603,             0.07029,            0.011066,           0.0051201,           0.0099439,           0.0099439,           0.0099439
                   4,            0.044394,           0.0074824,           0.0018258,             0.50947,             0.78205,             0.62719,             0.30465,            0.047472,            0.010204,           0.0017574,           0.0099439,           0.0099439,           0.0099439
                   5,            0.038877,           0.0062865,           0.0013853,             0.79044,             0.88408,             0.87069,             0.36439,             0.05388,           0.0095301,          0.00087204,           0.0099252,           0.0099252,           0.0099252
                   6,            0.034559,           0.0055092,           0.0012482,             0.86473,             0.87675,             0.90942,             0.52035,            0.048794,            0.012869,           0.0014463,           0.0099065,           0.0099065,           0.0099065
                   7,            0.032379,           0.0053422,           0.0013676,             0.82272,             0.78824,             0.80422,             0.50894,            0.051727,            0.012018,            0.015228,           0.0098878,           0.0098878,           0.0098878
                   8,             0.03074,           0.0051582,           0.0010824,             0.93119,             0.76691,             0.85182,             0.52978,            0.041775,           0.0091324,           0.0036499,           0.0098691,           0.0098691,           0.0098691
                   9,            0.029023,           0.0049032,          0.00087865,             0.55628,             0.55897,             0.49591,             0.25267,            0.059313,            0.012262,            0.005603,           0.0098504,           0.0098504,           0.0098504
                  10,            0.028283,            0.004868,          0.00099713,             0.78049,             0.88718,             0.90631,             0.44229,            0.041467,           0.0073833,           0.0026358,           0.0098317,           0.0098317,           0.0098317
                  11,            0.026381,           0.0045223,          0.00087084,             0.89104,             0.74759,              0.8968,             0.59412,            0.036837,           0.0082769,           0.0020184,            0.009813,            0.009813,            0.009813
