   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.75383,             0.83893,             0.78291,             0.44588,            0.052793,            0.011961,           0.0038973,            0.051276,                0.01,                0.98,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,              0.2261,                 0.4,                   0,                   0,                   0,            0.075861,               0.001,                   0,                   0,                   0,            0.042128,                   0,                   3
             0.97284,             0.91026,             0.96663,             0.67888,            0.033055,           0.0070276,           0.0011852,                0.01,            0.049317,                0.98,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                 0.7,                 0.4,                   0,                   0,                   0,            0.075861,                   0,                   0,            0.067717,                   0,            0.041255,                   0,                   3
             0.96281,              0.9796,             0.98588,             0.60729,             0.03083,           0.0070553,          0.00011516,            0.051276,                0.01,                0.98,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,             0.13892,             0.54944,                   0,             0.06974,                   0,            0.075861,                   0,            0.095886,                   0,                   0,                   0,                   0,                   3
             0.96302,             0.95234,              0.9897,             0.51925,             0.03327,           0.0066509,          0.00026484,            0.015289,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.098225,             0.83821,                 0.4,            0.072838,           0.0075572,                   0,            0.075861,               0.001,            0.066654,             0.59681,                   1,            0.021535,             0.23125,                   3
             0.85358,             0.88954,             0.93031,             0.47616,            0.037293,           0.0081882,           0.0018099,            0.052998,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.040061,             0.77848,                 0.4,                   0,            0.070448,                   0,             0.13301,               0.001,             0.19914,           0.0027003,             0.66044,              0.2908,             0.22803,                   3
             0.97174,              0.8359,             0.94034,             0.60305,            0.032315,           0.0057392,           0.0028175,            0.015289,                0.01,              0.8384,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                 0.7,                 0.4,                   0,                   0,                   0,            0.075861,                   0,                   0,                   0,                   0,            0.042128,                   0,                   3
             0.89039,             0.95192,             0.98637,             0.59121,            0.032466,           0.0073643,          0.00027504,                0.01,            0.037572,             0.95275,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                 0.7,             0.26633,            0.015365,                 0.1,             0.48743,             0.13571,               0.001,             0.25923,           0.0027003,             0.66044,              0.1886,             0.22803,                   3
             0.99117,             0.98718,             0.99429,             0.58698,            0.027147,           0.0067005,          0.00038543,                0.01,            0.037572,             0.95275,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                 0.7,                 0.4,                   0,            0.079922,                   0,             0.01655,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.98629,             0.96939,             0.99475,             0.58887,            0.028817,           0.0072794,           0.0002522,            0.020474,            0.012685,             0.95275,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,             0.77051,             0.45083,                   0,            0.067709,             0.59359,            0.072721,                   0,                   0,                   0,                   0,            0.091175,                   0,                   3
             0.58854,             0.51442,             0.47516,             0.26828,            0.094781,            0.013065,           0.0062103,            0.088849,            0.037572,             0.95275,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                 0.7,             0.40771,                   0,                   0,                   0,            0.075861,                   0,                   0,            0.035279,                   0,            0.068864,             0.05067,                   3
             0.96004,             0.92308,              0.9718,             0.43485,             0.04013,           0.0081615,          0.00078182,                 0.1,            0.085185,                0.98,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.023242,            0.066195,             0.54944,                   0,             0.06974,            0.017758,            0.075861,               0.001,            0.095886,                   0,                   0,            0.044047,            0.052641,                   3
                   0,                   0,                   0,                   0,             0.11688,            0.012215,            0.020148,               1e-05,            0.054386,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,             0.79816,             0.43422,            0.057739,                   0,                   0,            0.017619,                   0,            0.078418,                   0,             0.08996,                   0,                   0,                   3
             0.97605,             0.98879,               0.995,             0.60277,            0.025259,           0.0063782,          0.00041237,            0.015289,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                 0.7,                 0.4,                   0,            0.079922,                   0,            0.075861,                   0,                   0,            0.035279,                   0,            0.027366,            0.052641,                   3
             0.82509,             0.96154,             0.91128,             0.42639,            0.044364,           0.0079899,           0.0005744,            0.094305,                0.01,             0.84726,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                 0.1,             0.60306,             0.45083,                   0,             0.13652,             0.59359,            0.011139,               0.001,                   0,                   0,                   0,            0.091175,             0.22803,                   3
             0.89524,             0.97803,             0.96142,             0.56462,            0.031404,           0.0074606,          0.00034232,            0.015289,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.098225,             0.78049,                 0.4,            0.072838,           0.0075572,                   0,            0.075861,                   0,            0.066654,             0.59681,                   1,            0.071274,                   0,                   3
             0.98268,             0.96961,               0.995,             0.66923,            0.024886,           0.0063457,          0.00064898,            0.015289,            0.081161,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,             0.44938,                   0,            0.079922,                   0,                   0,                   0,                   0,                   0,             0.08996,                   0,                   0,                   3
               0.916,             0.92275,             0.99022,             0.48858,             0.03998,           0.0080414,          0.00030217,                0.01,            0.037572,             0.93914,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,             0.71877,             0.44767,                   0,            0.063854,             0.48789,              1.2254,               0.001,             0.69202,             0.38154,             0.70907,             0.54797,             0.88604,                   3
                   0,                   0,                   0,                   0,             0.11885,            0.011505,             0.01983,               1e-05,            0.054386,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,             0.70621,             0.42151,                   0,                   0,              0.4293,             0.14776,               0.001,             0.22872,            0.040451,             0.48278,             0.82904,             0.58234,                   3
             0.88124,             0.97436,             0.98392,             0.52932,            0.032105,            0.007782,          0.00025105,                0.01,                0.01,             0.94054,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,             0.71877,             0.42133,                   0,           0.0075572,                   0,            0.075861,               0.001,            0.067089,             0.59681,                   1,            0.021535,             0.23125,                   3
             0.99717,             0.97549,              0.9933,             0.61563,            0.030902,           0.0069027,          0.00077057,            0.015289,            0.081161,             0.87842,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,             0.44938,                   0,            0.067674,                   0,                   0,                   0,                   0,                   0,            0.069882,                   0,                   0,                   3
             0.95651,             0.94062,             0.97189,             0.60308,             0.03903,           0.0081158,          0.00053291,            0.094305,            0.098286,             0.78872,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                 0.1,             0.60306,             0.45083,                   0,            0.067709,              0.5147,             0.19048,                   0,             0.25368,           0.0027003,             0.66044,             0.21953,             0.19447,                   3
             0.99149,             0.97692,               0.995,             0.67339,            0.022221,           0.0043836,            0.000385,                0.01,            0.037572,             0.95275,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,             0.67841,                 0.4,                   0,                   0,                   0,            0.095677,                   0,                   0,                   0,             0.08996,                   0,                   0,                   3
             0.90803,             0.96358,              0.9359,             0.48584,            0.045417,           0.0076466,          0.00034757,                0.01,             0.13219,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                 0.1,            0.078482,             0.39496,              10.342,             0.14309,             0.43753,              3.3558,                   0,                   0,                 0.5,                   1,            0.092839,                   0,                   3
             0.90148,             0.97571,               0.995,             0.63556,            0.029872,           0.0071774,          0.00033269,                0.01,            0.037572,             0.95275,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                 0.7,             0.54944,              0.0958,             0.06974,            0.095417,            0.075861,               0.001,            0.095886,            0.060831,                   0,            0.042965,                   0,                   3
             0.97664,             0.98718,             0.99007,             0.59409,            0.031531,           0.0064402,          0.00060835,                0.01,             0.10206,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,             0.79816,             0.42151,                   0,            0.018282,                   0,                   0,                   0,                   0,                   0,             0.08996,                   0,                   0,                   3
                   0,                   0,                   0,                   0,             0.11688,            0.012215,            0.020148,               1e-05,            0.054386,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,             0.79816,             0.43422,            0.057739,                   0,                   0,            0.017619,                   0,            0.078418,                   0,             0.08996,                   0,                   0,                   3
             0.99311,             0.97915,               0.995,             0.65492,            0.026216,           0.0063505,          0.00040836,            0.015289,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.040061,                 0.7,                 0.4,            0.092558,            0.079922,                   0,            0.075861,                   0,                   0,                   0,                   0,            0.027366,            0.052641,                   3
             0.92708,             0.94872,             0.96205,             0.45284,            0.035169,           0.0093956,           0.0002502,            0.051276,                0.01,                0.98,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,             0.13892,             0.54944,                   0,             0.06974,                   0,            0.075861,               0.001,            0.095886,                   0,                   0,                   0,                   0,                   3
               0.981,             0.98724,               0.995,             0.66445,            0.026389,           0.0068092,          0.00041637,                0.01,            0.037572,             0.93914,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.061744,             0.71877,             0.44767,                   0,             0.06974,                   0,            0.075861,                   0,            0.095886,                   0,                   0,                   0,                   0,                   3
                   0,                   0,                   0,                   0,             0.11708,            0.012157,            0.019855,               1e-05,            0.037572,             0.95275,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0042511,             0.73775,                 0.4,                   0,              0.1053,                   0,           0.0029596,                   0,             0.04622,             0.59681,                   1,            0.021535,             0.22714,                   3
             0.94921,             0.99039,               0.995,             0.55053,            0.032039,           0.0064249,          0.00052853,            0.094305,                0.01,             0.78082,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                 0.1,              0.6097,             0.45083,                   0,             0.13272,            0.092313,                   0,                   0,                   0,                   0,             0.08996,                   0,                   0,                   3
             0.96302,             0.95234,              0.9897,             0.51925,             0.03327,           0.0066509,          0.00026484,            0.015289,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.098225,             0.83821,                 0.4,            0.072838,           0.0075572,                   0,            0.075861,               0.001,            0.066654,             0.59681,                   1,            0.021535,             0.23125,                   3
             0.95406,             0.94872,             0.96502,             0.42652,            0.036916,           0.0078812,          0.00049648,            0.094305,                0.01,             0.84726,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                 0.1,             0.60306,             0.45083,                   0,            0.067709,             0.59359,            0.072721,                   0,                   0,                   0,                   0,            0.091175,                   0,                   3
                   1,             0.88662,              0.9858,             0.62273,            0.031833,           0.0056982,            0.001012,                0.01,            0.037572,             0.85733,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.069132,             0.79517,                 0.4,                   0,                   0,            0.056656,             0.15352,                   0,                   0,                   0,                   0,            0.042128,                   0,                   3
             0.97373,             0.98861,             0.99438,             0.57407,            0.031106,           0.0067301,          0.00046835,            0.015289,             0.02222,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.032057,             0.66596,             0.46043,                   0,            0.065809,             0.35751,             0.06881,                   0,            0.010935,              0.4249,                   1,                   0,            0.018714,                   3
             0.98311,             0.97436,             0.98769,             0.56167,            0.031882,           0.0078926,          0.00048132,                0.01,            0.037572,             0.87359,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.099799,             0.60693,                 0.4,                   0,                 0.1,             0.37872,                   0,                   0,                   0,                 0.5,                   1,                   0,             0.22803,                   3
             0.97417,             0.97479,               0.995,             0.58304,            0.027916,           0.0063105,          0.00047455,            0.015289,            0.081161,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,          0.00095412,              0.6544,             0.44938,                   0,            0.079922,                   0,            0.064899,                   0,                   0,                   0,            0.089051,            0.072595,             0.23125,                   3
             0.95925,             0.93717,             0.97956,             0.51707,             0.03213,           0.0075512,          0.00018883,                0.01,            0.054691,                0.98,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.026517,             0.71029,             0.38211,                   0,            0.026833,             0.41467,            0.015339,                   0,                   0,                 0.5,             0.98509,                   0,                   0,                   3
             0.87041,              0.9359,             0.91322,             0.48296,            0.038097,           0.0091209,          0.00018735,            0.040707,                0.01,                0.98,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,             0.13892,                 0.4,            0.018046,           0.0075572,                   0,            0.075861,               0.001,                   0,             0.59681,                   1,            0.021535,             0.23125,                   3
              0.8954,             0.94872,             0.96296,             0.60312,            0.029663,           0.0074711,          0.00043592,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                 0.1,             0.60306,             0.53461,            0.069974,            0.080176,             0.59359,            0.096124,                   0,                   0,                   0,                   0,            0.091175,                   0,                   3
                   0,                   0,                   0,                   0,             0.11648,             0.01239,            0.020282,               1e-05,            0.054386,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0098331,            0.052641,                   3
             0.87701,             0.94258,             0.95136,             0.54334,             0.04043,           0.0089226,           0.0010353,            0.094305,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,             0.68828,             0.42127,                   0,                 0.1,             0.39614,             0.12435,               0.001,             0.23604,           0.0027003,             0.66044,             0.21953,             0.22803,                   3
                   0,                   0,                   0,                   0,             0.11826,            0.012039,            0.020197,               1e-05,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.040061,                 0.7,                 0.4,                   0,            0.058101,                   0,            0.075861,                   0,                   0,                   0,                   0,            0.027366,             0.13726,                   3
             0.99406,             0.98718,             0.99129,             0.69929,            0.024432,           0.0062227,          0.00068989,            0.015289,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.040061,                 0.7,                 0.4,                   0,            0.028134,                   0,            0.064043,                   0,                   0,                   0,            0.066316,            0.042128,            0.086554,                   3
          9.8678e-05,            0.025641,          5.9871e-05,          5.9871e-06,             0.12134,            0.011213,            0.020935,               1e-05,            0.081161,             0.87842,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,             0.38763,                   0,                 0.1,             0.44328,                   0,               0.001,                   0,             0.50955,             0.94366,            0.001088,             0.22803,                   3
             0.56992,             0.79487,             0.77061,             0.44738,             0.04757,            0.011219,          0.00041461,            0.051276,                0.01,                0.98,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                 0.7,                 0.4,                   0,                   0,                   0,                   0,               0.001,                   0,                   0,             0.08996,                   0,           0.0034062,                   3
             0.97367,             0.98718,             0.99429,             0.53389,            0.031384,           0.0069227,          0.00034981,            0.015289,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0034898,                 0.7,             0.49352,                   0,            0.079922,                   0,            0.041223,               0.001,                   0,                   0,                   0,                   0,            0.052641,                   3
              0.9006,             0.96617,             0.95403,             0.47749,            0.036973,           0.0078125,          0.00042629,                0.01,            0.037572,             0.87381,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,             0.63085,                 0.4,                   0,           0.0075572,                   0,             0.11208,               0.001,                   0,             0.59681,                   1,            0.021535,             0.23125,                   3
             0.72435,             0.71042,             0.73913,             0.35324,            0.054015,           0.0091476,          0.00015316,            0.052695,                0.01,                0.98,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.026517,             0.13892,             0.54944,              7.9456,             0.52964,              0.4293,             0.14776,               0.001,             0.19985,           0.0095543,             0.48278,                   0,             0.22803,                   3
             0.98529,             0.99403,             0.99475,             0.57962,            0.028732,           0.0065527,           0.0010633,                0.01,             0.10082,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                 0.7,             0.44938,                   0,            0.079922,                   0,                   0,                   0,            0.022321,                   0,                   0,                   0,                   0,                   3
                   0,                   0,                   0,                   0,             0.11739,             0.01211,             0.01983,               1e-05,            0.012685,             0.95275,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.077329,              0.6544,             0.44938,                   0,            0.079922,                   0,             0.13754,                   0,           0.0003123,            0.039032,            0.089051,            0.072595,             0.23125,                   3
             0.89565,             0.96525,             0.95801,             0.47323,            0.033517,            0.007576,           0.0011741,                 0.1,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                 0.7,                 0.4,                   0,             0.13272,            0.092313,                   0,                   0,                   0,                   0,             0.11882,                   0,            0.037709,                   3
                   0,                   0,                   0,                   0,              0.1149,             0.01259,             0.01886,               1e-05,             0.12565,             0.97219,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.054336,                 0.7,             0.44938,                   0,            0.079922,                   0,                   0,                   0,                   0,            0.028642,            0.098747,            0.059495,            0.089375,                   3
