               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10453,            0.024181,            0.022358,           0.0036003,             0.81026,            0.038999,           0.0046529,            0.091051,            0.017216,           0.0099945,            0.072892,           0.0048925,           0.0048925
                   1,            0.059069,            0.023896,            0.010098,             0.11644,             0.21282,            0.078194,            0.016127,            0.067805,            0.017303,           0.0056152,             0.04492,             0.00992,             0.00992
                   2,            0.055348,            0.015012,           0.0040089,             0.67489,                 0.2,             0.21709,            0.073606,            0.070262,            0.016075,           0.0019093,            0.016929,            0.014929,            0.014929
                   3,            0.052035,            0.010499,           0.0028454,             0.41807,             0.75641,             0.51691,             0.25977,            0.062751,            0.013775,          0.00098381,            0.015206,            0.015206,            0.015206
                   4,            0.046462,           0.0077504,           0.0020253,             0.57644,             0.83333,             0.75321,             0.38532,            0.052611,            0.010851,           0.0011513,            0.015206,            0.015206,            0.015206
                   5,            0.041325,           0.0064748,            0.001739,             0.66884,             0.82308,             0.79659,             0.43541,            0.050805,           0.0095139,           0.0045326,            0.015179,            0.015179,            0.015179
                   6,             0.03812,           0.0058645,           0.0014892,             0.90022,              0.9601,             0.95987,             0.57823,            0.043757,            0.006834,           0.0018171,            0.015151,            0.015151,            0.015151
                   7,            0.035919,           0.0055232,           0.0013756,             0.88286,             0.81026,             0.93334,              0.6217,            0.041561,           0.0076599,           0.0023937,            0.015124,            0.015124,            0.015124
                   8,            0.034068,           0.0051083,           0.0014541,             0.96764,             0.93293,             0.98443,             0.62923,            0.040296,            0.006588,           0.0023884,            0.015096,            0.015096,            0.015096
                   9,            0.031668,           0.0048969,            0.001225,             0.74177,             0.91649,             0.94647,             0.62811,            0.040411,           0.0085764,           0.0015835,            0.015069,            0.015069,            0.015069
                  10,            0.031172,           0.0048886,           0.0011359,             0.89242,             0.85608,             0.95967,             0.57514,            0.038863,           0.0081043,           0.0020218,            0.015041,            0.015041,            0.015041
                  11,            0.028721,           0.0046405,            0.001104,             0.96254,             0.94379,             0.98075,             0.66934,            0.037519,           0.0068026,           0.0010782,            0.015014,            0.015014,            0.015014
                  12,             0.02891,           0.0045826,           0.0010333,             0.87887,             0.84522,             0.94107,             0.58261,            0.037977,           0.0063124,            0.002153,            0.014986,            0.014986,            0.014986
                  13,            0.027214,           0.0043664,           0.0010612,             0.92568,             0.67179,             0.77641,             0.55076,            0.043248,            0.012852,           0.0069809,            0.014959,            0.014959,            0.014959
                  14,            0.026785,           0.0043181,          0.00094011,             0.84006,             0.92308,             0.92608,             0.58647,            0.042056,           0.0099411,           0.0033169,            0.014931,            0.014931,            0.014931
                  15,            0.026231,           0.0042793,          0.00094759,             0.99189,             0.77179,             0.85619,             0.51515,            0.040503,            0.012808,           0.0058075,            0.014904,            0.014904,            0.014904
                  16,            0.025309,           0.0042432,            0.001086,             0.92501,             0.82881,             0.86195,             0.53929,            0.037686,            0.010429,            0.005336,            0.014876,            0.014876,            0.014876
                  17,            0.024875,           0.0041318,           0.0010792,             0.94851,             0.79744,             0.94834,              0.6533,            0.032394,           0.0090685,           0.0012186,            0.014849,            0.014849,            0.014849
                  18,            0.024213,           0.0040612,          0.00089302,             0.95173,             0.92251,             0.95803,             0.57781,            0.040989,           0.0098076,           0.0032257,            0.014821,            0.014821,            0.014821
                  19,            0.023752,           0.0039475,          0.00080019,             0.97124,             0.94872,             0.97232,             0.61517,            0.034202,           0.0084352,           0.0017048,            0.014794,            0.014794,            0.014794
                  20,            0.023285,           0.0039043,          0.00083577,             0.98177,             0.72461,             0.85232,             0.55651,            0.041829,            0.013542,           0.0065796,            0.014766,            0.014766,            0.014766
                  21,            0.023384,           0.0039017,          0.00089768,             0.86687,             0.91026,              0.9609,             0.67085,            0.031087,             0.00881,           0.0013874,            0.014739,            0.014739,            0.014739
                  22,            0.022164,           0.0037872,          0.00072724,             0.98085,             0.91561,             0.97112,             0.76939,            0.034868,            0.010342,           0.0016035,            0.014711,            0.014711,            0.014711
                  23,            0.021725,           0.0035958,          0.00083873,             0.76313,               0.875,             0.91128,             0.55166,            0.036273,            0.012089,            0.004628,            0.014684,            0.014684,            0.014684
