   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.60188,             0.74359,             0.70419,             0.39187,            0.046249,            0.014009,           0.0019066,             0.00334,             0.15135,             0.74832,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.01041,             0.54703,             0.27739,                   0,             0.04591,             0.75544,                   0,                   0,                   0,                 0.5,             0.85834,             0.04266,                   0,                   3
             0.85323,             0.92308,             0.92981,             0.56269,            0.033898,           0.0088997,          0.00034924,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                   0,                   3
             0.90769,             0.98559,             0.92808,              0.6089,            0.029162,           0.0070267,          0.00031943,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.85323,             0.92308,             0.92981,             0.56269,            0.033898,           0.0088997,          0.00034924,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                 0.1,                   3
             0.53914,             0.80769,             0.74802,             0.38358,             0.04733,            0.013351,           0.0013306,             0.00258,                0.17,               0.779,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,              0.0188,               0.704,                0.36,                   0,              0.0902,               0.491,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.96352,             0.94155,             0.99451,             0.73284,            0.029718,            0.005784,           0.0011261,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.41018,             0.41405,             0.33262,             0.11913,            0.076184,            0.016029,           0.0043365,            0.071914,             0.17587,              0.7598,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0029163,             0.44085,             0.82168,              11.466,             0.75508,             0.66021,              4.1193,          0.00059396,             0.77304,             0.98502,             0.47565,             0.34912,             0.12045,                   3
             0.95983,              0.9564,             0.99378,             0.58628,            0.037163,           0.0078297,          0.00027118,            0.039368,             0.16406,             0.95784,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0085542,             0.79911,             0.32699,              12.011,             0.04454,             0.13307,              5.1123,          0.00057557,             0.14751,            0.038002,            0.013017,             0.18307,             0.87092,                   3
             0.48779,             0.56415,             0.42928,             0.20479,             0.07376,           0.0088158,           0.0010273,            0.040203,             0.51388,             0.76847,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.041201,              0.4658,            0.018499,              19.462,             0.26236,             0.67834,             0.96872,          0.00050329,              0.8478,             0.86747,             0.56672,             0.25721,             0.83641,                   3
             0.87603,             0.91026,             0.94386,             0.49722,            0.042136,           0.0090923,          0.00054426,            0.087311,            0.061898,             0.77832,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.058717,             0.15962,             0.84611,              1.7719,             0.32629,              0.5407,              1.2181,          0.00042352,            0.076784,            0.091094,             0.54277,             0.43378,             0.29481,                   3
             0.68568,             0.60923,             0.56391,             0.16208,            0.062268,            0.011848,           0.0019779,            0.016221,             0.31684,             0.77139,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.057851,             0.80083,             0.61311,              36.037,              0.7668,              0.7309,              5.5865,          0.00039286,             0.76584,             0.80628,             0.75059,              0.7064,             0.18743,                   3
             0.62896,             0.60769,             0.56692,             0.15828,            0.061987,            0.010998,           0.0021908,             0.07712,              0.2586,             0.62623,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.081529,             0.77174,             0.59788,              27.546,             0.38948,             0.87551,              4.9924,          0.00082684,             0.42146,             0.77755,             0.51645,             0.11625,             0.28354,                   3
             0.60024,             0.38986,             0.40751,             0.16814,            0.063155,            0.016144,           0.0038872,            0.064075,             0.52953,             0.66182,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.071616,             0.47093,             0.85016,              40.887,             0.89981,             0.87028,              5.6536,          0.00027738,             0.18048,             0.57005,             0.97086,             0.76861,             0.27488,                   3
             0.92422,             0.88431,             0.94369,             0.39508,            0.045569,           0.0099335,           0.0011673,            0.075952,              0.5604,                0.69,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.047803,              0.7541,             0.38042,              8.4111,             0.13905,             0.54679,              8.0975,          0.00019469,             0.35271,             0.55609,             0.72444,             0.66584,             0.40002,                   3
             0.29959,             0.30513,             0.12881,            0.020087,            0.077515,            0.010801,           0.0066147,            0.091481,             0.39471,             0.65718,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0062269,             0.75926,             0.57962,              43.075,             0.69521,            0.083197,              8.3654,          0.00080527,             0.71663,             0.63636,             0.38072,             0.54246,             0.10483,                   3
              0.8255,             0.63333,             0.79945,             0.33824,            0.045868,            0.011583,           0.0025333,            0.034043,             0.36452,              0.8537,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.038143,             0.63859,              0.1065,              4.1768,             0.60368,             0.85199,               9.545,          0.00060326,            0.014716,             0.49076,              0.6062,             0.84386,            0.048814,                   3
            0.019473,             0.25128,            0.011056,           0.0018643,            0.095687,            0.021889,            0.010822,            0.088472,             0.45161,              0.9651,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.040461,              0.4345,             0.38592,              35.572,             0.73986,             0.56738,              5.6334,          0.00068173,             0.60522,             0.51103,             0.05608,               0.961,             0.27515,                   3
             0.74445,             0.82051,             0.77408,             0.25814,            0.055828,           0.0094509,          0.00088253,            0.024068,             0.70878,             0.93438,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.031653,            0.080192,             0.64849,              42.799,             0.15079,             0.14177,              3.0352,          0.00029913,            0.039396,             0.41814,             0.40847,             0.56177,              0.0995,                   3
             0.51771,             0.42821,             0.33362,              0.1383,            0.065522,            0.014328,           0.0023369,             0.08531,             0.65644,             0.72133,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.020755,             0.66705,             0.61662,              6.3429,                0.22,              0.8245,              2.9346,           0.0006571,             0.92929,             0.93077,              0.4817,             0.77611,             0.83809,                   3
              0.3182,             0.24103,             0.21744,             0.04528,            0.084103,           0.0092106,             0.01153,            0.078146,             0.62021,             0.72146,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.088198,              0.8927,             0.24646,              30.931,             0.54486,             0.88627,              8.9178,          0.00045548,             0.71412,            0.095002,             0.13195,             0.90323,             0.60592,                   3
             0.23583,             0.29538,             0.17559,            0.019397,            0.089004,            0.013407,            0.007457,            0.092403,               0.991,              0.8327,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0059068,             0.66876,             0.17595,              36.704,             0.41049,             0.67003,              7.0668,          0.00045748,             0.15691,             0.52565,             0.70494,             0.64671,            0.010071,                   3
             0.80989,             0.81026,             0.82407,             0.26566,            0.059928,           0.0097885,           0.0023733,            0.052624,             0.86836,             0.82963,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.088679,             0.33511,             0.82713,              17.679,             0.34235,            0.038484,              9.7001,          4.6976e-05,            0.077768,             0.55856,             0.74797,             0.32286,            0.055395,                   3
             0.22967,             0.25934,             0.22092,              0.0705,            0.090287,             0.01288,           0.0046768,            0.091958,             0.37976,             0.60888,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.013028,            0.087726,              0.6901,              32.502,             0.67356,             0.81801,               0.711,          0.00017536,             0.87912,             0.95376,            0.080177,            0.052749,             0.74098,                   3
             0.80334,              0.8602,             0.85779,             0.27815,            0.054705,            0.009037,          0.00063763,            0.043276,             0.17819,              0.7817,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.074642,             0.81171,             0.26882,              31.151,             0.42951,             0.54927,              5.6412,          0.00085115,             0.22543,             0.37259,             0.18065,             0.82941,             0.26497,                   3
             0.50228,             0.68306,              0.5602,             0.16664,            0.068047,            0.011925,           0.0018864,            0.090661,             0.62249,             0.66762,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.052602,             0.83482,             0.85685,              23.715,             0.18946,              0.7496,              9.5232,          2.0483e-05,             0.93789,             0.58093,             0.61981,             0.80479,             0.33654,                   3
             0.14456,             0.11282,            0.072033,            0.014604,            0.093724,            0.012806,           0.0059784,             0.08616,             0.46867,              0.8496,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.080641,             0.89623,             0.47696,              30.541,          0.00044301,             0.25391,              2.2229,          0.00059019,             0.66852,             0.41849,             0.16879,             0.97155,             0.36032,                   3
             0.86159,             0.86688,              0.9226,             0.60928,            0.035219,           0.0073862,           0.0018333,            0.016631,              0.3284,             0.89565,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.044481,            0.068543,            0.036373,             0.85786,              0.4021,            0.026118,              1.4088,           0.0003859,            0.061173,             0.39093,              0.6948,             0.45546,            0.030444,                   3
             0.27596,             0.36029,             0.20763,            0.062217,            0.083198,            0.010099,           0.0035851,            0.054759,             0.39879,             0.74165,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,          0.00062414,             0.48023,             0.85653,              22.718,             0.63431,             0.48199,             0.89933,           0.0001395,             0.96269,              0.4977,              0.2883,             0.25095,             0.92705,                   3
             0.62772,             0.60513,             0.64641,             0.27381,            0.060194,             0.01302,           0.0026024,            0.039368,             0.29271,             0.66988,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.027288,             0.62906,             0.79862,              1.2619,             0.85371,             0.52405,              5.3823,          0.00042309,             0.41505,             0.80562,             0.57619,             0.24728,             0.79994,                   3
              0.5478,             0.47692,             0.42445,             0.12128,            0.059323,            0.019131,           0.0039169,           0.0022741,             0.25123,             0.67637,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.093526,             0.46682,              0.3654,              17.567,              0.8041,             0.56428,              5.5492,          0.00019723,             0.08326,             0.52029,             0.73319,             0.69905,              0.7953,                   3
             0.64173,             0.50122,             0.54395,             0.15848,            0.081254,            0.011436,           0.0013784,            0.098378,             0.34541,             0.65471,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.030499,             0.54455,             0.48085,              4.2773,             0.30015,             0.51865,             0.58669,          0.00057803,             0.25172,             0.94873,            0.012054,            0.049082,              0.9012,                   3
             0.32207,             0.18648,             0.13811,            0.036788,            0.082404,            0.016739,           0.0060486,            0.090935,             0.86816,             0.68496,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.064935,             0.70738,             0.35883,              35.869,              0.8636,             0.57257,              7.5233,          0.00056501,             0.37469,             0.13746,            0.045796,             0.72923,              0.8028,                   3
              0.3267,             0.59231,             0.36667,            0.073933,            0.069752,            0.013029,           0.0012735,            0.015556,             0.96263,              0.6454,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.080648,             0.59426,             0.41655,              29.899,             0.85525,             0.31337,               4.303,          0.00032249,             0.90132,             0.77899,             0.33052,            0.075376,             0.39237,                   3
             0.49903,             0.60231,             0.54831,             0.16058,            0.062533,             0.01561,           0.0012388,          0.00063022,             0.89597,             0.92081,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.013503,             0.40465,            0.047876,               43.26,             0.54916,             0.85772,               6.156,           0.0008755,             0.12343,             0.63518,            0.069804,             0.99561,             0.35619,                   3
              0.8766,             0.98718,             0.96074,             0.55493,            0.034622,           0.0090237,           0.0010441,            0.076911,             0.14116,              0.7606,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.094902,             0.71205,             0.12752,              6.1002,             0.79805,            0.094799,              8.5607,          6.4659e-05,             0.42083,             0.31573,             0.88027,             0.79102,             0.35998,                   3
             0.79965,             0.60256,             0.70028,             0.31808,             0.05442,            0.012932,           0.0024963,            0.051812,             0.53996,             0.73545,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.084832,              0.7224,              0.2222,              5.5219,             0.40571,             0.64202,              8.5804,          0.00024413,             0.60897,             0.88896,             0.80707,             0.48773,             0.80778,                   3
             0.72109,             0.82149,             0.85463,             0.40318,            0.043365,            0.010466,           0.0013248,            0.013283,             0.79198,             0.71384,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.036266,             0.55727,             0.46989,               1.737,             0.10152,             0.44881,              6.5868,          0.00093346,             0.71235,             0.53596,             0.56205,            0.055684,             0.80031,                   3
             0.83659,             0.93594,             0.92153,             0.50046,            0.045315,           0.0089302,           0.0010052,            0.039034,             0.51388,              0.7432,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.05682,             0.73411,            0.027018,               23.16,             0.32181,             0.71188,              6.0438,          0.00014845,             0.96413,              0.4915,              0.6638,            0.054381,             0.64536,                   3
             0.86066,             0.95319,             0.96473,             0.50184,            0.044818,           0.0082703,           0.0010201,            0.073566,             0.35277,             0.70553,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.028648,             0.46443,               0.846,              4.8329,             0.39165,             0.43306,              2.6275,          0.00028397,             0.32829,            0.097657,             0.14089,             0.47806,            0.048343,                   3
              0.7259,             0.91026,             0.90543,             0.45847,            0.043933,           0.0092983,           0.0014309,            0.012859,             0.72649,             0.60338,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.028905,             0.15021,             0.28248,              11.491,             0.36186,             0.25846,              8.5215,          0.00046457,             0.37926,             0.65571,             0.34599,             0.89637,             0.32408,                   3
             0.14112,             0.21282,             0.15267,            0.045943,             0.07562,            0.016132,           0.0087509,            0.058983,             0.86594,             0.86609,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.088609,             0.89819,             0.70388,              11.646,             0.68782,             0.70229,              3.7964,          0.00051426,             0.93621,              0.5115,            0.032506,             0.28021,             0.20941,                   3
