               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13518,            0.020731,            0.027706,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.069069,           0.0010688,           0.0010688
                   1,             0.11673,            0.019332,            0.020183,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.037048,           0.0020482,           0.0020482
                   2,             0.08817,            0.024903,            0.018057,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049028,           0.0029028,           0.0029028
                   3,            0.078184,            0.025685,            0.016724,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027731,           0.0027731,           0.0027731
                   4,            0.073643,            0.025139,            0.015567,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027731,           0.0027731,           0.0027731
                   5,            0.071466,            0.023727,            0.014124,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025841,           0.0025841,           0.0025841
                   6,            0.068677,            0.023035,            0.011541,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023952,           0.0023952,           0.0023952
                   7,            0.067845,            0.022235,             0.01016,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022062,           0.0022062,           0.0022062
                   8,            0.065026,            0.020935,           0.0087803,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020172,           0.0020172,           0.0020172
                   9,            0.064003,            0.020553,           0.0075965,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018283,           0.0018283,           0.0018283
                  10,            0.063124,              0.0194,            0.006685,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016393,           0.0016393,           0.0016393
                  11,            0.060443,            0.019409,           0.0059461,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014503,           0.0014503,           0.0014503
                  12,            0.059595,            0.018487,            0.005289,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012614,           0.0012614,           0.0012614
                  13,             0.05871,            0.018387,           0.0048268,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010724,           0.0010724,           0.0010724
                  14,            0.057317,            0.017743,           0.0044924,             0.60188,             0.74359,             0.70419,             0.39187,            0.046249,            0.014009,           0.0019066,          0.00088344,          0.00088344,          0.00088344
                   0,             0.13176,            0.019691,            0.025496,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0712,              0.0032,              0.0032
                   1,            0.092189,            0.023572,            0.017168,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.04111,             0.00611,             0.00611
                   2,            0.079427,            0.021506,            0.010763,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010624,            0.008624,            0.008624
                   3,            0.073211,            0.018385,           0.0059896,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0082,              0.0082,              0.0082
                   4,            0.070113,            0.017122,           0.0045532,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0082,              0.0082,              0.0082
                   5,            0.062558,             0.01502,           0.0038546,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0076,              0.0076,              0.0076
                   6,            0.060532,            0.014584,           0.0035279,                   0,                   0,                   0,                   0,                   0,                   0,                   0,               0.007,               0.007,               0.007
                   7,            0.058354,            0.014479,           0.0033372,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0064,              0.0064,              0.0064
                   8,            0.053972,            0.013988,           0.0029641,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0058,              0.0058,              0.0058
                   9,            0.052627,            0.013206,           0.0024671,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0052,              0.0052,              0.0052
                  10,            0.050726,            0.012883,            0.002409,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0046,              0.0046,              0.0046
                  11,            0.050267,            0.012634,           0.0020478,                   0,                   0,                   0,                   0,                   0,                   0,                   0,               0.004,               0.004,               0.004
                  12,             0.04656,            0.011695,           0.0017432,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0034,              0.0034,              0.0034
                  13,            0.046355,            0.012192,           0.0013689,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0028,              0.0028,              0.0028
                  14,            0.044129,            0.011571,            0.001624,             0.85323,             0.92308,             0.92981,             0.56269,            0.033898,           0.0088997,          0.00034924,              0.0022,              0.0022,              0.0022
                   0,             0.12558,            0.021192,             0.02466,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0712,              0.0032,              0.0032
                   1,            0.081073,            0.025149,            0.013901,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.041071,            0.006071,            0.006071
                   2,            0.070841,            0.020977,           0.0068873,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010506,           0.0085064,           0.0085064
                   3,            0.065257,            0.017259,           0.0031604,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   4,            0.060174,            0.014858,            0.002929,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
