               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13936,             0.02065,            0.029413,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.068512,            0.001088,            0.001088
                   1,             0.12626,             0.01546,            0.021351,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.036168,           0.0020768,           0.0020768
                   2,             0.10194,             0.02094,            0.018789,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036972,           0.0029396,           0.0029396
                   3,            0.086119,            0.023635,            0.018523,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027731,           0.0027731,           0.0027731
                   4,            0.078581,            0.023778,            0.017648,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027731,           0.0027731,           0.0027731
                   5,            0.074572,            0.023116,            0.017689,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025841,           0.0025841,           0.0025841
                   6,            0.070708,            0.022449,            0.015961,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023952,           0.0023952,           0.0023952
                   7,            0.069369,             0.02154,            0.015578,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022062,           0.0022062,           0.0022062
                   8,            0.067284,            0.020305,            0.014932,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020172,           0.0020172,           0.0020172
                   9,            0.065402,            0.020407,             0.01415,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018283,           0.0018283,           0.0018283
                  10,            0.064292,            0.019196,             0.01248,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016393,           0.0016393,           0.0016393
                  11,            0.065199,            0.019337,            0.011379,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014503,           0.0014503,           0.0014503
                  12,            0.063508,            0.018227,             0.01033,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012614,           0.0012614,           0.0012614
                  13,            0.062389,            0.018666,           0.0096553,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010724,           0.0010724,           0.0010724
                  14,            0.061015,            0.017914,             0.00885,             0.65065,             0.60513,             0.70251,             0.33841,            0.051178,            0.013985,           0.0039948,          0.00088344,          0.00088344,          0.00088344
                   0,             0.13731,            0.018589,            0.027056,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070682,           0.0032576,           0.0032576
                   1,             0.10201,            0.020233,            0.018892,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040286,           0.0061955,           0.0061955
                   2,            0.084619,             0.02181,             0.01832,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094909,           0.0087333,           0.0087333
                   3,            0.075778,            0.020143,            0.014704,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0082,              0.0082,              0.0082
                   4,            0.073012,            0.018159,           0.0084798,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0082,              0.0082,              0.0082
                   5,            0.070001,            0.016039,           0.0058785,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0076,              0.0076,              0.0076
                   6,            0.066946,            0.015366,           0.0051192,                   0,                   0,                   0,                   0,                   0,                   0,                   0,               0.007,               0.007,               0.007
