   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.67286,             0.76238,               0.703,             0.26333,            0.049288,            0.014107,           0.0016582,             0.00334,             0.15135,             0.74832,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.01041,             0.54703,             0.27739,                   0,             0.04591,             0.75544,                   0,                   0,                   0,                 0.5,             0.85834,             0.04266,                   0,                   3
             0.80081,             0.79744,             0.79625,             0.34635,            0.041561,           0.0091896,           0.0040436,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                   0,                   3
             0.90069,             0.98583,              0.9213,             0.51064,            0.032598,           0.0081844,          0.00034866,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.80081,             0.79744,             0.79625,             0.34635,            0.041561,           0.0091896,           0.0040436,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                 0.1,                   3
             0.54067,             0.73247,             0.66188,             0.28898,            0.049544,            0.014362,            0.001227,             0.00258,                0.17,               0.779,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,              0.0188,               0.704,                0.36,                   0,              0.0902,               0.491,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
              0.8665,              0.8241,             0.86212,             0.53049,            0.036188,           0.0060558,          0.00099869,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.38856,             0.53754,             0.36993,             0.12142,             0.07198,            0.014084,           0.0025028,            0.050037,              0.8611,             0.66268,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.068766,             0.77062,             0.37699,              7.0249,             0.88315,            0.045832,               9.078,          0.00078055,             0.17996,             0.92642,             0.46259,             0.57398,              0.6705,                   3
             0.64891,             0.65385,             0.56747,             0.19542,            0.062069,            0.013748,           0.0023132,            0.039379,             0.11434,             0.92186,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.047833,             0.51575,             0.40065,              31.941,             0.36703,             0.61481,              2.2818,          0.00012115,              0.4311,             0.97349,             0.93695,             0.17192,             0.57863,                   3
              0.8465,             0.93812,             0.94855,             0.38557,            0.051342,           0.0092297,           0.0010265,            0.029502,             0.29177,             0.84675,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,              0.0296,             0.59274,             0.60301,              14.324,             0.54775,             0.49545,             0.94866,          0.00046425,             0.62443,           0.0073961,             0.70031,             0.37918,             0.20754,                   3
             0.76351,             0.83333,             0.76541,               0.237,            0.056794,           0.0092144,           0.0010262,            0.026673,             0.36733,             0.87893,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.056875,            0.093698,             0.36595,              17.071,              0.4874,             0.56382,             0.46818,           0.0002054,             0.83353,             0.59425,             0.17041,             0.69234,             0.31848,                   3
