               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098399,            0.023473,            0.022338,             0.52727,             0.19231,            0.081826,            0.013039,            0.083496,            0.017689,            0.011274,            0.069877,           0.0028274,           0.0028274
                   1,            0.062223,            0.021525,           0.0091506,             0.22938,             0.73077,             0.42903,              0.1221,            0.061134,             0.01461,            0.003017,            0.039394,           0.0056776,           0.0056776
                   2,            0.061639,            0.015576,           0.0032226,                   1,              0.2807,              0.4312,               0.141,            0.075528,             0.01087,           0.0018114,           0.0089007,           0.0085176,           0.0085176
                   3,            0.057883,            0.011693,           0.0024218,              0.3102,             0.83333,             0.47696,             0.20047,            0.057604,            0.011119,           0.0032013,           0.0085351,           0.0085351,           0.0085351
                   4,            0.053665,           0.0097617,           0.0020938,             0.61747,             0.65464,             0.61497,             0.18933,            0.063505,            0.011593,           0.0033239,           0.0085351,           0.0085351,           0.0085351
                   5,            0.048617,           0.0086138,           0.0015351,             0.65561,             0.60156,             0.73767,              0.3519,            0.051371,            0.010295,            0.002736,           0.0085199,           0.0085199,           0.0085199
                   6,             0.04615,           0.0079092,           0.0013786,             0.76638,              0.8073,             0.86038,             0.40964,            0.047299,           0.0072632,           0.0011648,           0.0085047,           0.0085047,           0.0085047
                   7,             0.04572,            0.007573,            0.001751,             0.77126,             0.83333,             0.84702,              0.2902,            0.050315,            0.010785,           0.0011895,           0.0084895,           0.0084895,           0.0084895
                   8,            0.042825,           0.0074281,           0.0013538,             0.90417,              0.8098,             0.87905,             0.36655,            0.045729,           0.0075755,           0.0028829,           0.0084742,           0.0084742,           0.0084742
                   9,            0.042003,           0.0072052,           0.0010292,             0.97117,             0.95212,             0.97483,             0.44505,            0.040317,           0.0083013,          0.00082102,            0.008459,            0.008459,            0.008459
                  10,            0.041733,           0.0068872,          0.00096367,             0.96447,             0.95963,             0.98848,             0.52844,            0.037823,           0.0069227,          0.00088272,           0.0084438,           0.0084438,           0.0084438
                  11,            0.039483,           0.0067235,          0.00091654,             0.98906,             0.92308,             0.95092,             0.47816,            0.039669,            0.009347,           0.0010414,           0.0084286,           0.0084286,           0.0084286
                  12,            0.037858,           0.0066214,           0.0009408,             0.95707,             0.86154,               0.957,             0.44994,            0.044897,            0.008491,           0.0024397,           0.0084134,           0.0084134,           0.0084134
                  13,            0.037302,           0.0065604,           0.0010434,             0.95512,              0.9359,             0.96441,             0.46526,            0.036857,           0.0084419,           0.0018162,           0.0083981,           0.0083981,           0.0083981
