               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11748,             0.02219,            0.024054,           0.0014147,             0.41026,           0.0017176,          0.00047329,            0.098231,            0.014378,            0.011856,            0.070682,           0.0032576,           0.0032576
                   1,            0.061445,            0.023755,            0.012408,             0.51442,             0.23077,            0.013596,           0.0037903,            0.079649,            0.018539,           0.0093552,            0.040649,           0.0065583,           0.0065583
                   2,            0.056261,            0.019909,           0.0073118,             0.63446,             0.23077,             0.11711,            0.033111,            0.064288,            0.017929,           0.0046791,            0.010584,            0.009826,            0.009826
                   3,            0.051876,            0.011849,           0.0026537,              0.2955,             0.49464,             0.25706,             0.11734,            0.076317,            0.036835,            0.022913,           0.0098515,           0.0098515,           0.0098515
                   4,            0.042343,           0.0069672,            0.001436,             0.48205,             0.87179,             0.73076,             0.41265,            0.057674,            0.015944,           0.0029266,           0.0098515,           0.0098515,           0.0098515
                   5,            0.035676,           0.0055861,           0.0010993,             0.15723,             0.20513,             0.17662,            0.087885,            0.061843,            0.014265,           0.0090836,            0.009802,            0.009802,            0.009802
                   6,            0.030779,           0.0049782,           0.0008377,             0.56235,             0.80981,             0.72376,             0.41669,            0.044904,            0.012054,           0.0018198,           0.0097525,           0.0097525,           0.0097525
                   7,            0.027869,           0.0045444,          0.00081398,              0.7306,              0.8965,             0.89246,              0.5616,            0.039696,            0.010895,           0.0014336,            0.009703,            0.009703,            0.009703
                   8,            0.025375,           0.0043142,          0.00063139,             0.44979,             0.72051,             0.60873,             0.38548,             0.04242,            0.022614,           0.0033718,           0.0096535,           0.0096535,           0.0096535
                   9,             0.02355,           0.0040968,          0.00054337,               0.453,             0.72051,             0.60994,             0.30303,            0.056698,            0.014088,           0.0055565,            0.009604,            0.009604,            0.009604
                  10,            0.022938,           0.0039741,          0.00047963,             0.74411,             0.82051,             0.85183,             0.55074,            0.050319,           0.0082283,            0.019086,           0.0095545,           0.0095545,           0.0095545
                  11,             0.02118,           0.0037203,          0.00061066,             0.88723,             0.92308,             0.96001,             0.68425,            0.034913,           0.0070772,           0.0008749,            0.009505,            0.009505,            0.009505
                  12,            0.019658,           0.0035702,          0.00048744,             0.91613,             0.82308,             0.91914,             0.54796,            0.047524,           0.0068188,           0.0020067,           0.0094555,           0.0094555,           0.0094555
                  13,            0.020195,           0.0036164,          0.00044392,             0.94627,             0.91026,             0.93729,             0.63953,            0.044457,            0.006052,           0.0012935,            0.009406,            0.009406,            0.009406
                  14,            0.019776,           0.0035758,          0.00055885,             0.86699,             0.76343,             0.88624,             0.52755,            0.039737,           0.0076866,            0.001717,           0.0093565,           0.0093565,           0.0093565
                  15,            0.018773,           0.0034013,          0.00036159,             0.95216,             0.96154,             0.98939,             0.77554,            0.028494,           0.0052738,           0.0012705,            0.009307,            0.009307,            0.009307
                  16,            0.017546,           0.0032491,          0.00043654,             0.98221,             0.97945,             0.99429,             0.78554,            0.028921,           0.0048141,          0.00086803,           0.0092575,           0.0092575,           0.0092575
                  17,            0.016717,           0.0030726,          0.00036446,             0.84294,             0.94069,             0.95519,             0.66927,            0.030447,           0.0056391,           0.0013591,            0.009208,            0.009208,            0.009208
                  18,              0.0171,           0.0031495,           0.0003487,             0.94672,             0.84646,             0.96939,              0.7053,            0.035431,           0.0051804,           0.0017731,           0.0091585,           0.0091585,           0.0091585
                  19,            0.015815,           0.0030096,          0.00030974,             0.96117,              0.9359,             0.98308,             0.72704,            0.029233,           0.0052485,           0.0015368,            0.009109,            0.009109,            0.009109
                  20,             0.01547,           0.0029736,          0.00033582,             0.98759,             0.96154,             0.99352,             0.75463,             0.02793,           0.0051289,           0.0014845,           0.0090595,           0.0090595,           0.0090595
                  21,            0.015336,           0.0029035,          0.00033274,             0.96655,             0.97152,             0.99125,             0.77038,            0.029396,           0.0049601,           0.0019146,             0.00901,             0.00901,             0.00901
                  22,             0.01475,           0.0028721,          0.00030965,             0.96115,             0.93331,             0.96376,             0.79477,            0.032216,           0.0054741,          0.00083036,           0.0089605,           0.0089605,           0.0089605
                  23,            0.014206,           0.0027518,          0.00030789,             0.91165,             0.77042,             0.84347,             0.65758,            0.034342,           0.0087662,           0.0027626,            0.008911,            0.008911,            0.008911
                  24,            0.013854,            0.002714,          0.00030566,              0.9679,             0.89744,             0.94891,             0.77245,            0.032937,           0.0076284,           0.0017767,           0.0088615,           0.0088615,           0.0088615
                  25,             0.01367,           0.0026475,          0.00033079,             0.95233,             0.96862,             0.98182,             0.77681,            0.028983,           0.0058432,          0.00098009,            0.008812,            0.008812,            0.008812
