   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.57134,             0.71795,             0.69166,             0.30646,            0.050566,            0.014977,           0.0036873,             0.00334,             0.15135,             0.74832,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.01041,             0.54703,             0.27739,                   0,             0.04591,             0.75544,                   0,                   0,                   0,                 0.5,             0.85834,             0.04266,                   0,                   3
             0.80444,             0.85897,             0.89696,             0.52553,            0.038354,             0.01054,          0.00038757,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                   0,                   3
             0.87474,             0.94872,             0.99038,              0.6165,            0.031596,           0.0078354,          0.00033169,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.80444,             0.85897,             0.89696,             0.52553,            0.038354,             0.01054,          0.00038757,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                 0.1,                   3
             0.47867,             0.74359,             0.70026,              0.3293,            0.050745,            0.015888,           0.0035332,             0.00258,                0.17,               0.779,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,              0.0188,               0.704,                0.36,                   0,              0.0902,               0.491,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.95863,             0.94463,             0.99256,             0.78251,            0.026718,           0.0052872,          0.00074425,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.84819,             0.87082,             0.90298,             0.40598,            0.053157,           0.0098476,          0.00061874,            0.028057,             0.23659,             0.79177,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.048638,             0.79511,             0.34867,              3.2854,             0.43334,             0.60443,              7.7682,           0.0006034,              0.2493,             0.22863,             0.95181,             0.22938,             0.63984,                   3
             0.42885,             0.40256,             0.42485,             0.13279,            0.074574,            0.014072,           0.0018108,            0.023321,             0.29621,             0.64218,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0006103,             0.62043,              0.7298,              41.489,             0.79785,             0.18194,             0.72313,          0.00085979,             0.69532,             0.98037,             0.57549,             0.51308,             0.64605,                   3
             0.52681,              0.4641,             0.36236,            0.094987,            0.084695,            0.011606,           0.0011835,            0.045568,             0.86597,             0.92234,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0094302,              0.8205,             0.51379,              35.012,             0.26882,             0.43719,              7.0055,          0.00051136,             0.40805,             0.77909,             0.57044,             0.86557,             0.39615,                   3
             0.75095,             0.81396,             0.79013,             0.27411,            0.063004,           0.0078621,           0.0012228,            0.067892,             0.40407,             0.61367,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.065078,             0.17013,             0.61743,              28.974,             0.14924,            0.031772,              3.7076,          0.00067445,             0.23221,              0.4292,             0.35791,             0.91609,             0.78668,                   3
