               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1414,            0.020182,            0.029275,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.068512,            0.001088,            0.001088
                   1,             0.12919,            0.014265,            0.021124,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.036168,           0.0020768,           0.0020768
                   2,             0.10652,             0.01935,            0.018367,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0036972,           0.0029396,           0.0029396
                   3,            0.087986,            0.023114,            0.017992,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027731,           0.0027731,           0.0027731
                   4,             0.07939,            0.023427,            0.017096,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027731,           0.0027731,           0.0027731
                   5,            0.074978,            0.023048,             0.01693,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025841,           0.0025841,           0.0025841
                   6,             0.07139,            0.022571,            0.014944,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023952,           0.0023952,           0.0023952
                   7,            0.069896,            0.021744,            0.014158,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022062,           0.0022062,           0.0022062
                   8,            0.067539,            0.020729,            0.013085,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020172,           0.0020172,           0.0020172
                   9,            0.065818,            0.020912,            0.012357,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018283,           0.0018283,           0.0018283
                  10,             0.06472,             0.01964,            0.010807,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016393,           0.0016393,           0.0016393
                  11,            0.064405,            0.019867,           0.0098392,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014503,           0.0014503,           0.0014503
                  12,            0.063067,             0.01848,           0.0092361,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012614,           0.0012614,           0.0012614
                  13,            0.061951,             0.01892,           0.0086137,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010724,           0.0010724,           0.0010724
                  14,            0.060395,            0.018273,           0.0079107,             0.57134,             0.71795,             0.69166,             0.30646,            0.050566,            0.014977,           0.0036873,          0.00088344,          0.00088344,          0.00088344
