               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08869,            0.016536,             0.01591,           0.0020503,             0.87083,            0.041724,            0.012728,            0.071408,            0.010757,           0.0089417,            0.078201,            0.011249,            0.011249
                   1,            0.066435,            0.013252,           0.0070572,             0.20457,             0.29034,             0.16273,            0.052838,            0.066254,           0.0091476,            0.011968,            0.056169,            0.022551,            0.022551
                   2,             0.06776,            0.011291,           0.0073314,             0.93339,            0.066667,             0.10551,            0.041234,            0.088451,           0.0097942,            0.047919,            0.034093,            0.033808,            0.033808
                   3,            0.063125,            0.010272,           0.0064949,              0.4348,             0.57708,             0.45232,              0.1559,            0.061904,           0.0076571,           0.0079567,            0.033837,            0.033837,            0.033837
                   4,            0.057424,           0.0090686,           0.0038958,             0.36283,               0.325,             0.31202,             0.12451,            0.062149,            0.010904,            0.010109,            0.033837,            0.033837,            0.033837
                   5,            0.054338,           0.0083108,            0.003691,             0.51013,             0.55927,             0.45265,             0.12783,            0.054848,            0.006552,           0.0035585,             0.03377,             0.03377,             0.03377
                   6,            0.051318,           0.0077343,           0.0029514,             0.79941,             0.78125,             0.81924,             0.40902,            0.045269,           0.0057819,          0.00096006,            0.033702,            0.033702,            0.033702
                   7,            0.048894,           0.0073726,           0.0027198,             0.90391,             0.84201,             0.86134,              0.3835,              0.0428,           0.0064111,           0.0028094,            0.033635,            0.033635,            0.033635
                   8,            0.047967,           0.0072782,           0.0028246,             0.93692,              0.7375,             0.81101,             0.41154,            0.044925,           0.0060387,           0.0010401,            0.033568,            0.033568,            0.033568
                   9,            0.045911,           0.0070515,            0.002353,             0.84698,             0.80833,             0.87983,             0.36395,             0.04021,           0.0057392,           0.0019342,              0.0335,              0.0335,              0.0335
                  10,            0.044062,           0.0066185,           0.0018362,             0.89307,               0.875,             0.91461,             0.51204,            0.035357,           0.0062766,           0.0011961,            0.033433,            0.033433,            0.033433
                  11,            0.043663,           0.0064791,           0.0016322,             0.93044,             0.90417,              0.9246,             0.50527,            0.036632,           0.0040925,          0.00084729,            0.033366,            0.033366,            0.033366
                  12,            0.043081,           0.0064029,           0.0021781,             0.95579,             0.87945,             0.94928,             0.52393,            0.035235,           0.0051541,          0.00087533,            0.033298,            0.033298,            0.033298
                  13,            0.041236,           0.0063533,           0.0018487,             0.89562,             0.94792,             0.92543,             0.41096,            0.040734,           0.0045478,          0.00053368,            0.033231,            0.033231,            0.033231
                  14,            0.041111,           0.0058713,            0.001548,              0.8637,             0.84672,             0.87863,             0.39079,            0.039346,           0.0053992,          0.00091605,            0.033164,            0.033164,            0.033164
                  15,            0.040164,           0.0060177,           0.0017249,             0.94394,             0.83333,             0.92502,             0.36791,            0.037264,           0.0057912,           0.0086807,            0.033097,            0.033097,            0.033097
                  16,             0.03925,            0.006068,           0.0014107,             0.97037,             0.84167,             0.93488,             0.55109,             0.03464,           0.0054755,           0.0011638,            0.033029,            0.033029,            0.033029
                  17,            0.037899,           0.0057179,           0.0011736,              0.9252,             0.87215,             0.95384,             0.58465,            0.032225,           0.0042973,           0.0010515,            0.032962,            0.032962,            0.032962
                  18,            0.038796,           0.0057424,           0.0018577,             0.97137,             0.83008,             0.92017,             0.45082,            0.037326,            0.005152,          0.00085692,            0.032895,            0.032895,            0.032895
                  19,            0.038199,            0.005697,           0.0011604,             0.98064,             0.95833,             0.98975,             0.52726,            0.032627,           0.0037222,          0.00054717,            0.032827,            0.032827,            0.032827
                  20,            0.036611,           0.0055291,           0.0012008,              0.9493,             0.87361,             0.99014,             0.54833,            0.031204,           0.0044539,          0.00059361,             0.03276,             0.03276,             0.03276
                  21,            0.037202,           0.0054646,           0.0011763,             0.97275,             0.91301,             0.94617,              0.5544,            0.032547,           0.0046105,           0.0046227,            0.032693,            0.032693,            0.032693
                  22,            0.036797,           0.0054476,           0.0012684,             0.97118,             0.96875,             0.98924,             0.52259,            0.030323,            0.003639,           0.0003552,            0.032625,            0.032625,            0.032625
                  23,            0.035926,           0.0053716,           0.0013572,             0.96462,             0.97917,             0.97942,             0.57028,            0.028761,           0.0042415,          0.00039339,            0.032558,            0.032558,            0.032558
                  24,            0.035756,           0.0051875,           0.0012082,             0.90297,             0.91454,             0.95081,             0.54626,            0.033073,           0.0044396,           0.0011425,            0.032491,            0.032491,            0.032491
                  25,            0.035153,           0.0052477,           0.0013381,              0.9624,             0.95316,             0.98722,              0.5847,            0.028123,           0.0040874,          0.00060391,            0.032423,            0.032423,            0.032423
                  26,            0.034931,           0.0051775,           0.0010931,             0.93182,             0.94792,              0.9745,             0.58475,            0.028401,           0.0038137,          0.00039661,            0.032356,            0.032356,            0.032356
                  27,            0.035927,           0.0053035,           0.0010595,             0.97578,             0.89259,             0.95184,             0.51459,            0.034029,           0.0048976,          0.00083964,            0.032289,            0.032289,            0.032289
                  28,            0.035317,            0.005308,            0.001282,             0.96598,             0.98958,             0.97647,             0.54106,            0.030201,           0.0033869,          0.00036349,            0.032221,            0.032221,            0.032221
                  29,             0.03422,           0.0050144,            0.001027,             0.97833,             0.98062,             0.98585,             0.60507,            0.028622,           0.0037801,          0.00040522,            0.032154,            0.032154,            0.032154
                  30,            0.035162,           0.0051491,           0.0011141,             0.97886,             0.96515,             0.97887,             0.56361,            0.031127,           0.0039349,          0.00047755,            0.032087,            0.032087,            0.032087
                  31,            0.034763,           0.0052358,           0.0012739,             0.96334,             0.94792,             0.97927,             0.59932,            0.028814,           0.0040656,          0.00037239,            0.032019,            0.032019,            0.032019
                  32,            0.033324,           0.0049336,           0.0010162,             0.99464,             0.92882,             0.97834,             0.60668,            0.029005,           0.0041139,          0.00054631,            0.031952,            0.031952,            0.031952
                  33,            0.033418,           0.0050306,           0.0011246,             0.98837,             0.94449,             0.96336,             0.60288,            0.029669,           0.0045159,          0.00083299,            0.031885,            0.031885,            0.031885
                  34,            0.033708,           0.0049016,          0.00096199,             0.99008,             0.95831,              0.9829,             0.56729,            0.028957,           0.0039772,          0.00034258,            0.031817,            0.031817,            0.031817
                  35,            0.033003,           0.0049315,           0.0011135,             0.94098,             0.97159,             0.98114,             0.59522,            0.028074,           0.0038133,          0.00059354,             0.03175,             0.03175,             0.03175
                  36,            0.032274,           0.0046243,          0.00099757,             0.99538,             0.94792,             0.98865,             0.62014,            0.027327,           0.0041304,           0.0003643,            0.031683,            0.031683,            0.031683
                  37,            0.033347,           0.0048236,           0.0011149,             0.97842,             0.95833,             0.98952,             0.61673,            0.027522,           0.0036871,          0.00043058,            0.031615,            0.031615,            0.031615
                  38,            0.032506,           0.0046219,          0.00077985,             0.98168,              0.9862,              0.9948,             0.66403,            0.025535,           0.0036466,          0.00033073,            0.031548,            0.031548,            0.031548
                  39,            0.031542,           0.0045201,          0.00087166,              0.9849,             0.95522,             0.98779,             0.64654,            0.025406,           0.0033145,          0.00086069,            0.031481,            0.031481,            0.031481
                  40,            0.031984,           0.0048619,           0.0008036,             0.97254,                   1,             0.99459,             0.61268,            0.026289,           0.0034161,          0.00034151,            0.031413,            0.031413,            0.031413
                  41,            0.031272,           0.0046789,          0.00077974,             0.96824,             0.97917,             0.97848,              0.5833,            0.028944,           0.0036962,          0.00039804,            0.031346,            0.031346,            0.031346
                  42,            0.031655,           0.0046012,           0.0008418,             0.99293,             0.94792,             0.99188,             0.67345,            0.024525,            0.003684,          0.00029399,            0.031279,            0.031279,            0.031279
                  43,             0.03125,           0.0046467,          0.00083948,             0.96405,             0.96875,             0.96184,             0.65438,            0.024204,           0.0035841,          0.00025764,            0.031212,            0.031212,            0.031212
                  44,            0.031448,           0.0045934,           0.0010133,             0.98143,             0.95833,              0.9795,             0.64252,            0.027831,           0.0033855,          0.00032847,            0.031144,            0.031144,            0.031144
                  45,            0.031012,            0.004579,          0.00087762,             0.96858,             0.98249,             0.98359,             0.66783,            0.025388,            0.003619,          0.00033207,            0.031077,            0.031077,            0.031077
                  46,            0.030984,           0.0045463,          0.00086148,             0.98178,             0.96332,             0.98317,             0.67075,            0.024055,           0.0034227,          0.00030715,             0.03101,             0.03101,             0.03101
                  47,            0.030949,           0.0045196,          0.00085918,             0.97666,                   1,               0.995,             0.65637,            0.026187,           0.0035472,          0.00026712,            0.030942,            0.030942,            0.030942
                  48,             0.03135,           0.0046746,            0.001092,             0.97606,             0.98958,             0.99055,             0.65321,            0.024233,           0.0032735,          0.00026801,            0.030875,            0.030875,            0.030875
                  49,            0.031095,           0.0046473,          0.00082525,             0.98165,             0.97917,             0.99261,             0.65862,            0.023635,            0.003319,          0.00031753,            0.030808,            0.030808,            0.030808
                  50,            0.030785,           0.0046468,           0.0013464,             0.99624,             0.99829,               0.995,             0.68077,            0.023334,           0.0032992,          0.00032656,             0.03074,             0.03074,             0.03074
                  51,            0.029959,           0.0044654,          0.00073308,             0.97089,              0.9977,             0.99398,             0.67905,            0.022814,           0.0032082,          0.00029473,            0.030673,            0.030673,            0.030673
                  52,            0.030769,           0.0046131,          0.00085507,             0.95496,             0.97697,               0.948,             0.61214,            0.025077,           0.0037555,          0.00040829,            0.030606,            0.030606,            0.030606
                  53,            0.030116,           0.0045603,           0.0009344,             0.97126,             0.99536,             0.99459,             0.65544,            0.026934,           0.0035455,          0.00026627,            0.030538,            0.030538,            0.030538
                  54,             0.03037,           0.0044694,          0.00076967,             0.99589,             0.95833,             0.99247,             0.62672,            0.025732,           0.0033753,          0.00038137,            0.030471,            0.030471,            0.030471
                  55,            0.029169,           0.0043047,          0.00074329,             0.98054,             0.98958,              0.9948,             0.67179,            0.023915,           0.0034373,          0.00025961,            0.030404,            0.030404,            0.030404
                  56,             0.03019,           0.0043949,          0.00095452,             0.98262,             0.96875,              0.9793,             0.68633,            0.024699,           0.0032859,          0.00040948,            0.030336,            0.030336,            0.030336
                  57,             0.03033,           0.0046051,          0.00094642,             0.98587,             0.97575,             0.99157,             0.65053,            0.025255,           0.0037956,          0.00077338,            0.030269,            0.030269,            0.030269
                  58,            0.029509,           0.0043647,          0.00084211,             0.97998,             0.97917,             0.99263,             0.68414,            0.023871,           0.0035682,          0.00042744,            0.030202,            0.030202,            0.030202
                  59,            0.028989,           0.0043482,          0.00079282,             0.97403,             0.99911,             0.99377,             0.71495,            0.021967,           0.0032338,          0.00043795,            0.030134,            0.030134,            0.030134
                  60,            0.029112,           0.0042318,          0.00063074,             0.99318,             0.98602,             0.99406,              0.6828,            0.022799,           0.0032265,           0.0007288,            0.030067,            0.030067,            0.030067
                  61,            0.029526,           0.0044078,          0.00082369,             0.97995,             0.99014,               0.995,             0.64999,            0.025271,           0.0035061,          0.00041075,                0.03,                0.03,                0.03
                  62,            0.029372,           0.0042423,          0.00099937,             0.98819,                   1,               0.995,             0.65684,            0.023952,           0.0031492,          0.00024498,            0.029932,            0.029932,            0.029932
                  63,            0.029333,           0.0042838,          0.00085236,             0.98094,             0.99792,             0.99316,             0.68047,            0.025591,           0.0032045,          0.00052629,            0.029865,            0.029865,            0.029865
                  64,            0.028372,           0.0042943,           0.0007735,             0.99485,             0.98958,              0.9946,             0.71507,             0.02184,           0.0032616,          0.00031407,            0.029798,            0.029798,            0.029798
                  65,            0.028561,           0.0043243,          0.00081578,             0.99624,                   1,               0.995,              0.6891,            0.022475,           0.0031509,          0.00063159,             0.02973,             0.02973,             0.02973
                  66,             0.02914,           0.0043334,           0.0008062,             0.99189,             0.98471,             0.99158,             0.67739,            0.025058,           0.0033269,          0.00030072,            0.029663,            0.029663,            0.029663
                  67,            0.028493,           0.0041172,             0.00067,             0.99186,             0.97917,             0.98609,             0.66682,            0.024922,             0.00372,          0.00035043,            0.029596,            0.029596,            0.029596
                  68,            0.028538,           0.0042745,          0.00076084,             0.98095,                   1,             0.99418,             0.68614,            0.022103,            0.003209,          0.00025191,            0.029528,            0.029528,            0.029528
                  69,            0.028021,           0.0042078,           0.0005708,             0.99748,             0.99682,               0.995,             0.67595,            0.023817,            0.003402,           0.0002954,            0.029461,            0.029461,            0.029461
                  70,            0.027933,           0.0041102,          0.00079286,             0.98136,             0.98112,             0.98607,             0.69088,            0.022832,             0.00351,          0.00032117,            0.029394,            0.029394,            0.029394
                  71,            0.027813,           0.0043624,           0.0010263,             0.98221,             0.97576,             0.99124,             0.68368,            0.022564,           0.0038433,          0.00033605,            0.029327,            0.029327,            0.029327
                  72,            0.028616,           0.0044516,          0.00098205,             0.98233,                   1,             0.99439,             0.65937,            0.025248,           0.0033051,          0.00027413,            0.029259,            0.029259,            0.029259
                  73,            0.028024,           0.0041693,          0.00063312,              0.9896,             0.98958,             0.98762,             0.67584,            0.021962,           0.0034819,          0.00031178,            0.029192,            0.029192,            0.029192
                  74,            0.027538,           0.0042023,          0.00064224,             0.99334,                   1,               0.995,             0.70011,            0.022729,           0.0029871,          0.00024264,            0.029125,            0.029125,            0.029125
                  75,            0.027562,           0.0041073,          0.00063892,             0.97777,                   1,             0.99378,             0.70395,            0.022835,           0.0031011,          0.00021439,            0.029057,            0.029057,            0.029057
                  76,             0.02825,           0.0042528,           0.0012361,             0.98658,             0.98675,             0.99328,             0.66116,            0.022489,           0.0034679,          0.00025101,             0.02899,             0.02899,             0.02899
                  77,            0.027852,           0.0041621,            0.000997,              0.9901,             0.98958,              0.9948,             0.68377,            0.022664,           0.0030091,          0.00023363,            0.028923,            0.028923,            0.028923
                  78,             0.02793,            0.004069,          0.00062367,             0.99193,                   1,               0.995,             0.66345,            0.023016,           0.0033431,          0.00023923,            0.028855,            0.028855,            0.028855
                  79,            0.027372,           0.0040753,          0.00075475,             0.99728,             0.97917,             0.99459,             0.71395,            0.021425,           0.0031633,          0.00024149,            0.028788,            0.028788,            0.028788
                  80,            0.027791,             0.00425,          0.00089441,              0.9703,                   1,             0.99356,             0.72491,            0.020389,           0.0029817,          0.00022597,            0.028721,            0.028721,            0.028721
                  81,            0.027984,            0.004136,          0.00072459,             0.99208,             0.99732,               0.995,             0.70823,            0.021579,           0.0031316,          0.00027709,            0.028653,            0.028653,            0.028653
                  82,            0.026893,           0.0039021,          0.00063752,             0.99285,             0.99957,               0.995,             0.69871,            0.022345,           0.0030897,          0.00026929,            0.028586,            0.028586,            0.028586
                  83,            0.027664,           0.0041076,          0.00091023,             0.98111,             0.98958,             0.99361,             0.70516,            0.022365,           0.0031791,           0.0002656,            0.028519,            0.028519,            0.028519
                  84,            0.027074,           0.0041205,           0.0010052,             0.99338,             0.98958,             0.99423,             0.71829,            0.021978,           0.0031209,          0.00021513,            0.028451,            0.028451,            0.028451
                  85,            0.026691,           0.0039867,          0.00065535,             0.98803,             0.98958,             0.99406,             0.73761,            0.021452,           0.0033644,           0.0002315,            0.028384,            0.028384,            0.028384
                  86,            0.027724,           0.0042383,            0.000786,             0.99133,                   1,               0.995,             0.71786,            0.020516,           0.0030568,          0.00023141,            0.028317,            0.028317,            0.028317
                  87,            0.026561,           0.0038825,          0.00053818,              0.9934,             0.99843,               0.995,             0.72843,            0.020181,           0.0030224,           0.0002341,            0.028249,            0.028249,            0.028249
                  88,            0.026673,           0.0041004,          0.00067625,             0.98363,                   1,             0.99459,              0.7351,            0.020538,           0.0034916,           0.0002419,            0.028182,            0.028182,            0.028182
                  89,            0.026287,           0.0039065,          0.00071813,             0.99652,                   1,               0.995,             0.70544,            0.021298,           0.0030028,            0.000229,            0.028115,            0.028115,            0.028115
                  90,            0.026949,           0.0039816,          0.00063974,              0.9845,             0.98958,             0.97601,              0.6964,            0.021977,           0.0031524,          0.00022838,            0.028047,            0.028047,            0.028047
                  91,            0.027682,           0.0040851,          0.00063637,             0.99311,                   1,               0.995,             0.70495,            0.022008,            0.003069,          0.00023553,             0.02798,             0.02798,             0.02798
                  92,            0.026069,           0.0039161,          0.00052371,             0.99584,                   1,               0.995,              0.6736,            0.021806,           0.0027976,          0.00019172,            0.027913,            0.027913,            0.027913
                  93,            0.026756,           0.0040702,          0.00059464,             0.98138,             0.98958,             0.97788,             0.67975,            0.022021,           0.0030072,          0.00019945,            0.027845,            0.027845,            0.027845
                  94,            0.026593,           0.0040437,          0.00081068,             0.98206,             0.96875,             0.98324,             0.72527,            0.021103,           0.0032725,           0.0002342,            0.027778,            0.027778,            0.027778
                  95,            0.026248,            0.003917,          0.00086727,             0.98621,                   1,               0.995,             0.74395,            0.020338,           0.0030918,          0.00022874,            0.027711,            0.027711,            0.027711
                  96,            0.026223,           0.0038071,          0.00066785,             0.99376,                   1,               0.995,             0.72964,            0.019876,           0.0030559,          0.00022006,            0.027643,            0.027643,            0.027643
                  97,            0.026091,           0.0038968,          0.00060655,              0.9945,                   1,               0.995,             0.71675,            0.020074,           0.0029685,          0.00024688,            0.027576,            0.027576,            0.027576
                  98,            0.025956,           0.0038062,          0.00064583,             0.99329,                   1,               0.995,             0.70565,             0.02087,            0.003059,          0.00019873,            0.027509,            0.027509,            0.027509
                  99,            0.026101,           0.0040838,          0.00069133,             0.99309,                   1,               0.995,             0.72568,            0.020528,           0.0029504,           0.0002225,            0.027442,            0.027442,            0.027442
                 100,            0.025952,           0.0040301,          0.00049676,             0.99377,                   1,               0.995,             0.74117,            0.021561,           0.0030857,          0.00024245,            0.027374,            0.027374,            0.027374
                 101,            0.026115,            0.004117,           0.0006199,             0.99517,                   1,               0.995,             0.72236,            0.020462,           0.0032082,          0.00022988,            0.027307,            0.027307,            0.027307
                 102,            0.026017,           0.0040503,          0.00067695,             0.99358,             0.98958,              0.9948,             0.73001,            0.020472,           0.0030563,          0.00022573,             0.02724,             0.02724,             0.02724
                 103,            0.025918,           0.0039633,           0.0006639,             0.99146,             0.98958,              0.9948,             0.75027,            0.018265,           0.0030465,          0.00020885,            0.027172,            0.027172,            0.027172
                 104,            0.025625,           0.0039412,          0.00082758,             0.99575,                   1,               0.995,             0.75173,            0.019147,           0.0029658,          0.00023047,            0.027105,            0.027105,            0.027105
                 105,            0.025847,            0.003807,          0.00058583,             0.99365,                   1,               0.995,             0.75164,            0.018947,           0.0029505,          0.00022919,            0.027038,            0.027038,            0.027038
                 106,            0.026216,           0.0041094,          0.00068009,             0.97648,             0.99331,              0.9946,             0.72348,            0.019807,           0.0031933,          0.00021012,             0.02697,             0.02697,             0.02697
                 107,             0.02575,           0.0039426,           0.0005129,             0.98098,                   1,             0.99459,             0.74571,            0.019114,           0.0028652,          0.00020885,            0.026903,            0.026903,            0.026903
                 108,            0.025283,           0.0037897,          0.00079206,             0.99591,                   1,               0.995,             0.71631,            0.019759,           0.0030752,          0.00022128,            0.026836,            0.026836,            0.026836
                 109,            0.025414,            0.003665,          0.00073815,             0.99405,             0.99846,               0.995,             0.71222,            0.019629,           0.0030351,          0.00023246,            0.026768,            0.026768,            0.026768
                 110,            0.026235,           0.0038875,           0.0006453,             0.99624,                   1,               0.995,             0.71982,            0.020716,           0.0031214,          0.00021191,            0.026701,            0.026701,            0.026701
                 111,            0.025395,            0.003928,          0.00060843,             0.99469,                   1,               0.995,             0.73071,            0.019223,           0.0028502,          0.00020406,            0.026634,            0.026634,            0.026634
                 112,            0.025433,           0.0038284,           0.0006802,             0.99682,                   1,               0.995,             0.73508,            0.019119,           0.0029253,          0.00021036,            0.026566,            0.026566,            0.026566
                 113,             0.02545,           0.0038187,          0.00063189,             0.99645,                   1,               0.995,             0.71063,            0.020906,           0.0030736,          0.00020243,            0.026499,            0.026499,            0.026499
                 114,            0.025344,           0.0037825,           0.0008825,             0.99445,                   1,               0.995,              0.7273,            0.019611,           0.0028716,          0.00021744,            0.026432,            0.026432,            0.026432
                 115,            0.025208,           0.0036922,          0.00055555,             0.99538,                   1,               0.995,             0.75005,            0.018636,           0.0029221,          0.00020356,            0.026364,            0.026364,            0.026364
                 116,            0.025242,           0.0037205,          0.00056103,             0.99593,                   1,               0.995,             0.72518,            0.018883,           0.0030221,           0.0001852,            0.026297,            0.026297,            0.026297
                 117,            0.025202,           0.0039361,          0.00074108,             0.98436,             0.98958,             0.97875,             0.73653,            0.018714,           0.0030774,           0.0001981,             0.02623,             0.02623,             0.02623
                 118,            0.024924,           0.0037919,          0.00055216,             0.98604,                   1,               0.995,             0.74425,            0.018592,           0.0030586,          0.00021167,            0.026162,            0.026162,            0.026162
                 119,             0.02531,           0.0037965,          0.00066083,             0.99455,                   1,               0.995,             0.74414,            0.018482,           0.0030346,          0.00020633,            0.026095,            0.026095,            0.026095
                 120,            0.025382,           0.0038496,          0.00057004,             0.99701,                   1,               0.995,             0.72793,             0.01863,           0.0029459,           0.0001986,            0.026028,            0.026028,            0.026028
                 121,            0.025118,           0.0038752,          0.00073529,             0.99623,                   1,               0.995,             0.70679,            0.019407,            0.002847,          0.00019038,             0.02596,             0.02596,             0.02596
                 122,            0.024634,           0.0036208,          0.00067977,             0.99693,                   1,               0.995,              0.7244,            0.019497,           0.0028675,          0.00020876,            0.025893,            0.025893,            0.025893
                 123,            0.025053,            0.003628,          0.00063261,              0.9922,                   1,               0.995,             0.74511,            0.019392,           0.0028545,          0.00020607,            0.025826,            0.025826,            0.025826
                 124,            0.024832,           0.0037804,          0.00068831,             0.98505,             0.98958,             0.98532,             0.74819,            0.018294,           0.0029006,          0.00020516,            0.025758,            0.025758,            0.025758
                 125,            0.024656,           0.0037557,          0.00077907,             0.99291,             0.99825,               0.995,             0.74274,            0.019009,           0.0029199,          0.00020177,            0.025691,            0.025691,            0.025691
                 126,            0.024728,           0.0038236,          0.00081558,             0.99633,                   1,               0.995,             0.73622,            0.018816,           0.0027795,          0.00020635,            0.025624,            0.025624,            0.025624
                 127,            0.024788,            0.003786,          0.00058933,             0.99585,                   1,               0.995,              0.7399,            0.018749,           0.0028105,          0.00018603,            0.025557,            0.025557,            0.025557
                 128,            0.024911,            0.003722,          0.00069216,             0.98507,             0.98958,             0.98509,             0.73078,            0.019047,           0.0029457,          0.00019089,            0.025489,            0.025489,            0.025489
                 129,            0.024582,           0.0037436,          0.00066516,              0.9961,                   1,               0.995,             0.76351,            0.019034,           0.0028982,          0.00018667,            0.025422,            0.025422,            0.025422
                 130,            0.024966,           0.0037891,          0.00075412,             0.99717,                   1,               0.995,             0.74262,            0.018048,           0.0029482,          0.00019701,            0.025355,            0.025355,            0.025355
                 131,            0.023929,           0.0034492,          0.00060691,             0.99607,                   1,               0.995,             0.73555,            0.018464,           0.0028657,          0.00020418,            0.025287,            0.025287,            0.025287
                 132,            0.024905,           0.0038041,          0.00046481,             0.98577,             0.98958,             0.97916,             0.72542,            0.017825,           0.0027329,           0.0001931,             0.02522,             0.02522,             0.02522
                 133,            0.024292,           0.0038216,          0.00058339,             0.98577,             0.98958,             0.97905,             0.73551,            0.017546,           0.0027784,          0.00020077,            0.025153,            0.025153,            0.025153
                 134,            0.024678,           0.0037942,          0.00045047,             0.98582,             0.98958,             0.97738,             0.72853,            0.018088,           0.0028479,          0.00019106,            0.025085,            0.025085,            0.025085
                 135,            0.024964,           0.0038882,          0.00054379,             0.99611,                   1,               0.995,              0.7363,            0.018373,           0.0028434,          0.00018643,            0.025018,            0.025018,            0.025018
                 136,            0.024263,           0.0037109,          0.00059781,             0.98599,             0.98958,             0.98076,             0.74307,            0.017837,           0.0026603,          0.00019017,            0.024951,            0.024951,            0.024951
                 137,            0.024175,            0.003729,          0.00066156,             0.99727,                   1,               0.995,             0.75121,            0.017564,           0.0026799,          0.00019724,            0.024883,            0.024883,            0.024883
                 138,            0.024266,           0.0037204,          0.00045421,             0.98599,             0.98958,             0.98552,             0.76024,            0.017186,           0.0027081,          0.00020003,            0.024816,            0.024816,            0.024816
                 139,            0.024205,           0.0036634,          0.00053302,             0.98543,             0.98958,               0.983,             0.77767,            0.016824,            0.002686,          0.00020378,            0.024749,            0.024749,            0.024749
                 140,            0.024003,           0.0036016,          0.00052385,             0.99685,                   1,               0.995,             0.74929,            0.017564,           0.0026594,          0.00021372,            0.024681,            0.024681,            0.024681
                 141,             0.02439,           0.0037478,          0.00071767,             0.99645,                   1,               0.995,             0.75215,            0.017101,           0.0025992,          0.00020642,            0.024614,            0.024614,            0.024614
                 142,             0.02425,           0.0037759,          0.00097641,             0.99613,                   1,               0.995,             0.75235,             0.01658,           0.0025703,          0.00021105,            0.024547,            0.024547,            0.024547
                 143,            0.023761,           0.0036466,          0.00045077,             0.99491,                   1,               0.995,             0.77014,            0.017231,           0.0026714,          0.00019481,            0.024479,            0.024479,            0.024479
                 144,            0.024477,           0.0035845,          0.00057618,             0.99575,                   1,               0.995,             0.76835,            0.017166,           0.0026622,           0.0001945,            0.024412,            0.024412,            0.024412
